facilitytype,facilitytypedescription,subtype,subtypedescription,permitnumber,premisename,premiseaddress,premisecity,premisestate,premisezip,inspection_area,openingdate,object_id
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,115034,RED ROOF INN LOUISVILLE EAST,9330 BLAIRWOOD RD,LOUISVILLE,KY,40222,29,2022/04/18 00:00:00,119
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,115171,HOMEWOOD SUITES,130 CENTRAL AVE,LOUISVILLE,KY,40209,28,1988/06/02 00:00:00,120
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,116492,BEST WESTERN LOUISVILLE EAST,9802 BUNSEN PKWY,LOUISVILLE,KY,40229,29,2022/09/06 00:00:00,121
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,116909,ARTHUR STREET HOTEL,1620 ARTHUR STREET,LOUISVILLE,KY,40208,23,1988/06/02 00:00:00,122
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,117098,EXTENDED STAY AMERICA,3300 PRESTON HWY,LOUISVILLE,KY,40213,28,2022/11/29 00:00:00,123
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,117100,COMFORT INN SW LOUISVILLE,4444 DIXIE HWY,LOUISVILLE,KY,40216,23,2022/11/29 00:00:00,124
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,117124,QUALITY INN & SUITES,311 E GAULBERT AVE,LOUISVILLE,KY,40208,23,1988/06/02 00:00:00,125
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,117126,EXTENDED STAY AMERICA SELECT SUITES,6310 COMMERCE PARK CT,FAIRDALE,KY,40118,23,2022/12/01 00:00:00,126
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,117170,HILTON GARDEN INN,400 SHERBURN LANE,LOUISVILLE,KY,40207,26,2022/12/06 00:00:00,127
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,117171,HAWTHORN SUITES LOUISVILLE EAST,751 CYPRESS STATION DR,LOUISVILLE,KY,40207,26,2022/12/07 00:00:00,128
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,118150,HOTEL GENEVIEVE,730 E MARKET ST,LOUISVILLE,KY,40202,26,2023/04/17 00:00:00,129
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,118359,COMFORT SUITES AIRPORT,6535 PARAMOUNT PARK DR,LOUISVILLE,KY,40213,27,2023/04/28 00:00:00,130
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,119065,DERBY CITY GAMING HOTEL,4520 POPLAR LEVEL RD,LOUISVILLE,KY,40213,27,2023/06/22 00:00:00,131
