row_idx,source_table,source_variant,source_row_idx,partition
0,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,378,isolated_unique_b
1,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,379,isolated_unique_b
2,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,380,isolated_unique_b
3,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,381,isolated_unique_b
4,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,382,isolated_unique_b
5,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,383,isolated_unique_b
6,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,384,isolated_unique_b
7,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,385,isolated_unique_b
8,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,386,isolated_unique_b
9,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,387,isolated_unique_b
10,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,388,isolated_unique_b
11,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,389,isolated_unique_b
12,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,390,isolated_unique_b
13,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,391,isolated_unique_b
14,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,392,isolated_unique_b
15,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,393,isolated_unique_b
16,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,394,isolated_unique_b
17,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,395,isolated_unique_b
18,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,396,isolated_unique_b
19,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,397,isolated_unique_b
20,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,398,isolated_unique_b
21,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,399,isolated_unique_b
22,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,400,isolated_unique_b
23,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,401,isolated_unique_b
24,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,402,isolated_unique_b
25,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,403,isolated_unique_b
26,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,404,isolated_unique_b
27,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,405,isolated_unique_b
28,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,406,isolated_unique_b
29,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,407,isolated_unique_b
30,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,408,isolated_unique_b
31,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,409,isolated_unique_b
32,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,410,isolated_unique_b
33,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,411,isolated_unique_b
34,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,412,isolated_unique_b
35,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,413,isolated_unique_b
36,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,414,isolated_unique_b
37,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,415,isolated_unique_b
38,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,416,isolated_unique_b
39,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,417,isolated_unique_b
40,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,418,isolated_unique_b
41,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,419,isolated_unique_b
42,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,420,isolated_unique_b
43,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,421,isolated_unique_b
44,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,422,isolated_unique_b
45,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,423,isolated_unique_b
46,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,424,isolated_unique_b
47,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,425,isolated_unique_b
48,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,426,isolated_unique_b
49,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,427,isolated_unique_b
50,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,428,isolated_unique_b
51,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,429,isolated_unique_b
52,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,430,isolated_unique_b
53,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,431,isolated_unique_b
