indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino Black or African American only,2001-2004,3,2-5 years,0.1,11.0,1.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crue",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2003-2006,4,2-5 years,0.1,14.9,1.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population,z crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2005-2008,5,2-5 years,0.1,14.0,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispani corigin,3,3.12,Not Hispaxnic or Latino: Black or African American only,2007-2010,6,2-5 years,0.1,15.0,2.1,***
Obesity among children and adolescent saged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic oriin,3,3.12,Not Hispanic or Latino: Black or African American only,2009-2012,7,2-5 years,0.1,14.7,2.0,-
Obesity among children and adolescents aged 2-19 years,2-5years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2011-2014,8,2-5 years,0.1,10.4,1.5,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,NotHispanic or Latino: Black or African American only,20132-016,9,2- years,0.1,11.6,2.2,-
Obesity among children and adolescents aged 2-19 years,2- years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.12,Not Hispanic or Latino: Black or African American only,2015-2018,10,25 years,0.1,12.5,2.3,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of populaiton, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,1988-1994,1,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 ears,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,1999-2002,2,2-5 years,0.1,17.9,1.4,-
Obesity among children and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2001-2004,3,2-5 years,0.1,17.9,1.4,-
Obesity among lchildren and adolescents aged 2-19 years,2-5 years,2,"Percent of population, crude",1,Race and Hispanic origin,3,3.13,Not Hispanic or Latino: Asian only,2003-2006,4,2-5 years,0.1,17.9,1.4,-
