row_idx,source_table,source_variant,source_row_idx,partition
0,State_of_Oklahoma_Revolving_Funds_-_2012,NO,110,isolated_unique_a
1,State_of_Oklahoma_Revolving_Funds_-_2012,NO,111,isolated_unique_a
2,State_of_Oklahoma_Revolving_Funds_-_2012,NO,112,isolated_unique_a
3,State_of_Oklahoma_Revolving_Funds_-_2012,NO,113,isolated_unique_a
4,State_of_Oklahoma_Revolving_Funds_-_2012,NO,114,isolated_unique_a
5,State_of_Oklahoma_Revolving_Funds_-_2012,NO,115,isolated_unique_a
6,State_of_Oklahoma_Revolving_Funds_-_2012,NO,116,isolated_unique_a
7,State_of_Oklahoma_Revolving_Funds_-_2012,NO,117,isolated_unique_a
8,State_of_Oklahoma_Revolving_Funds_-_2012,NO,118,isolated_unique_a
9,State_of_Oklahoma_Revolving_Funds_-_2012,NO,119,isolated_unique_a
10,State_of_Oklahoma_Revolving_Funds_-_2012,NO,120,isolated_unique_a
11,State_of_Oklahoma_Revolving_Funds_-_2012,NO,121,isolated_unique_a
12,State_of_Oklahoma_Revolving_Funds_-_2012,NO,122,isolated_unique_a
13,State_of_Oklahoma_Revolving_Funds_-_2012,NO,123,isolated_unique_a
14,State_of_Oklahoma_Revolving_Funds_-_2012,NO,124,isolated_unique_a
15,State_of_Oklahoma_Revolving_Funds_-_2012,NO,125,isolated_unique_a
16,State_of_Oklahoma_Revolving_Funds_-_2012,NO,126,isolated_unique_a
17,State_of_Oklahoma_Revolving_Funds_-_2012,NO,127,isolated_unique_a
18,State_of_Oklahoma_Revolving_Funds_-_2012,NO,128,isolated_unique_a
19,State_of_Oklahoma_Revolving_Funds_-_2012,NO,129,isolated_unique_a
20,State_of_Oklahoma_Revolving_Funds_-_2012,NO,130,isolated_unique_a
21,State_of_Oklahoma_Revolving_Funds_-_2012,NO,131,isolated_unique_a
22,State_of_Oklahoma_Revolving_Funds_-_2012,NO,132,isolated_unique_a
23,State_of_Oklahoma_Revolving_Funds_-_2012,NO,133,isolated_unique_a
24,State_of_Oklahoma_Revolving_Funds_-_2012,NO,134,isolated_unique_a
25,State_of_Oklahoma_Revolving_Funds_-_2012,NO,135,isolated_unique_a
26,State_of_Oklahoma_Revolving_Funds_-_2012,NO,136,isolated_unique_a
27,State_of_Oklahoma_Revolving_Funds_-_2012,NO,137,isolated_unique_a
28,State_of_Oklahoma_Revolving_Funds_-_2012,NO,138,isolated_unique_a
29,State_of_Oklahoma_Revolving_Funds_-_2012,NO,139,isolated_unique_a
30,State_of_Oklahoma_Revolving_Funds_-_2012,NO,140,isolated_unique_a
31,State_of_Oklahoma_Revolving_Funds_-_2012,NO,141,isolated_unique_a
32,State_of_Oklahoma_Revolving_Funds_-_2012,NO,142,isolated_unique_a
33,State_of_Oklahoma_Revolving_Funds_-_2012,NO,143,isolated_unique_a
34,State_of_Oklahoma_Revolving_Funds_-_2012,NO,144,isolated_unique_a
35,State_of_Oklahoma_Revolving_Funds_-_2012,NO,145,isolated_unique_a
36,State_of_Oklahoma_Revolving_Funds_-_2012,NO,146,isolated_unique_a
37,State_of_Oklahoma_Revolving_Funds_-_2012,NO,147,isolated_unique_a
38,State_of_Oklahoma_Revolving_Funds_-_2012,NO,148,isolated_unique_a
39,State_of_Oklahoma_Revolving_Funds_-_2012,NO,149,isolated_unique_a
40,State_of_Oklahoma_Revolving_Funds_-_2012,NO,150,isolated_unique_a
41,State_of_Oklahoma_Revolving_Funds_-_2012,NO,151,isolated_unique_a
42,State_of_Oklahoma_Revolving_Funds_-_2012,NO,152,isolated_unique_a
43,State_of_Oklahoma_Revolving_Funds_-_2012,NO,153,isolated_unique_a
44,State_of_Oklahoma_Revolving_Funds_-_2012,NO,154,isolated_unique_a
45,State_of_Oklahoma_Revolving_Funds_-_2012,NO,155,isolated_unique_a
46,State_of_Oklahoma_Revolving_Funds_-_2012,NO,156,isolated_unique_a
47,State_of_Oklahoma_Revolving_Funds_-_2012,NO,157,isolated_unique_a
48,State_of_Oklahoma_Revolving_Funds_-_2012,NO,158,isolated_unique_a
49,State_of_Oklahoma_Revolving_Funds_-_2012,NO,159,isolated_unique_a
50,State_of_Oklahoma_Revolving_Funds_-_2012,NO,160,isolated_unique_a
