agency_number,agency_name,class_field,class_description,statutory_reference,calendar_year,monthvalue,total_amount
35500.0,OKLA. HUMAN RIGHTS COMM.,440,Federal Funds,"TITLE 62, SEC 34.48, 34.9",2012,3,$495239.47
35900.0,ENERGY RESOURCES BOARD,200,Energy Resources Revolving Fun,"TITLE 52, SEC. 288.7.A",2012,3,$13158865.87
36000.0,OKLA. INDIAN AFFAIRS COMMISSION,200,Ok. Indian Affairs Commission,"TITLE 74, SEC. 1205",2012,3,$0.00
36900.0,WORKERS COMPENSATION COURT,200,Adm Of Worker's Comp Rev Fund,"TITLE 85, SEC. 95",2012,3,$470020.04
37000.0,OK. INDUSTRIAL FINANCE AUTH.,200,Indust Development Loan Fund,"TITLE 74, SEC. 860 A",2012,3,$2701408.62
37000.0,OK. INDUSTRIAL FINANCE AUTH.,805,Indust Fin Auth Bond Redem Fnd,"TITLE 74, SECTION 860 E",2012,3,$11260.17
37000.0,OK. INDUSTRIAL FINANCE AUTH.,810,Indus Finance Auth Inter Fund,"TITLE 74, SEC. 860 D",2012,3,$0.00
38500.0,OKLAHOMA INSURANCE DEPARTMENT,200,Ins Commissioner Rev Fund,"TITLE 36, SEC. 1435.23",2012,3,$9272955.71
38500.0,OKLAHOMA INSURANCE DEPARTMENT,205,Private Grant Fund,,2012,3,$0.00
38500.0,OKLAHOMA INSURANCE DEPARTMENT,215,GKFF Grant Fund,,2012,3,$0.00
38500.0,OKLAHOMA INSURANCE DEPARTMENT,220,Bail Bondsmen Revolving Fund,"TITLE 59, SEC. 1337",2012,3,$0.00
38500.0,OKLAHOMA INSURANCE DEPARTMENT,225,Real Estate Appraisers Bd,"TITLE 59, SEC 858-730 (1991)",2012,3,$408779.86
38500.0,OKLAHOMA INSURANCE DEPARTMENT,230,Insurance Dept Anti - Fraud,"TITLE 36, CH. 1, ART. 3, SEC. 307.5",2012,3,$0.00
38500.0,OKLAHOMA INSURANCE DEPARTMENT,235,Captive Ins. Regul & Supervisi,"TITLE 36, SECTION 6470.24",2012,3,$0.00
38500.0,OKLAHOMA INSURANCE DEPARTMENT,410,Federal Grant Fund,"TITLE 62, SEC 34.48 & 34.9",2012,3,$61917.37
39000.0,COMPSOURCE OKLAHOMA,200,State Insurance Fund,"TITLE 85, SECTION 375",2012,3,$1258440.44
40000.0,OFFICE OF JUVENILE AFFAIRS,200,OJA Revolving Fund,"TITLE 62, SECTION 34.9",2012,3,$1247313.13
40000.0,OFFICE OF JUVENILE AFFAIRS,202,Health Insur Portability,"HB 2487, SECTION 9",2012,3,$0.00
40000.0,OFFICE OF JUVENILE AFFAIRS,205,Parental Responsibility Fund,"TITLE 62, SEC. 34.9",2012,3,$359224.48
40000.0,OFFICE OF JUVENILE AFFAIRS,210,Santa Claus Commission Rev Fd,"TITLE 62, SECTION 155; TITLE 10, SECTION 361",2012,3,$86672.46
40000.0,OFFICE OF JUVENILE AFFAIRS,400,Delinquency Prevention Fund,"TITLE 62, SECTION 34.48 & 34.9",2012,3,$240685.41
40000.0,OFFICE OF JUVENILE AFFAIRS,405,Fed Grant Fund-Pass Through,"TITLE 62, SEC. 34.48 & 34.9",2012,3,$106490.69
40000.0,OFFICE OF JUVENILE AFFAIRS,410,Fed Grant Fund - Reimbursement,"TITLE 62, SEC. 34.48 & 34.9",2012,3,$2005513.60
40000.0,OFFICE OF JUVENILE AFFAIRS,415,Juv Acct Inct Blk Grant Fund,"TITLE 62, SEC. 34.48 & 34.9",2012,3,$1229144.64
40500.0,DEPARTMENT OF LABOR,200,Dept. Of Labor Revolving Fund,"TITLE 40, SECTION 141.19",2012,3,$588650.17
40500.0,DEPARTMENT OF LABOR,205,Worker's Comp Enforcemt Fund,"TITLE 85, SEC. 63.1 C",2012,3,$0.00
40500.0,DEPARTMENT OF LABOR,210,Safety Standards Revolving Fun,,2012,3,$0.00
40500.0,DEPARTMENT OF LABOR,215,Safety Consult & Reg Fund,"REPEALED BY SB 878, 2011",2012,3,$338882.91
40500.0,DEPARTMENT OF LABOR,216,Elevator Safety Revolving Fund,"TITLE 59, CH 56A, SEC 3025",2012,3,$0.00
40500.0,DEPARTMENT OF LABOR,410,Federal Fund,"TITLE 62, SEC. 34.48",2012,3,$167218.96
41000.0,COMM. OF THE LAND OFFICE,200,Revolving Fund,"TITLE 64, SEC. 1011",2012,3,$684500.37
41000.0,COMM. OF THE LAND OFFICE,400,Grants,"TITLE 62, SEC. 34.48,34.9",2012,3,$0.00
41500.0,COUNCIL ON LAW ENFC. ED. & TRNG.,205,Firearms Instructor Rev. Fund,"21 O.S., SEC. 1290.14F",2012,3,$25054.06
41500.0,COUNCIL ON LAW ENFC. ED. & TRNG.,210,Peace Officer Revolving Fund,,2012,3,$5317.25
41500.0,COUNCIL ON LAW ENFC. ED. & TRNG.,215,Cleet Training Center Rev Fund,"TITLE 70, SECTION 3311.6",2012,3,$235394.95
41500.0,COUNCIL ON LAW ENFC. ED. & TRNG.,220,CLEET Private Security Revl Fd,,2012,3,$56044.35
41500.0,COUNCIL ON LAW ENFC. ED. & TRNG.,499,Surplus Property Fund,,2012,3,$1327.50
