row_idx,source_table,source_variant,source_row_idx,partition
0,305b_Assessed_2008_Estuary,NO,189,isolated_unique_b
1,305b_Assessed_2008_Estuary,NO,190,isolated_unique_b
2,305b_Assessed_2008_Estuary,NO,191,isolated_unique_b
3,305b_Assessed_2008_Estuary,NO,192,isolated_unique_b
4,305b_Assessed_2008_Estuary,NO,193,isolated_unique_b
5,305b_Assessed_2008_Estuary,NO,194,isolated_unique_b
6,305b_Assessed_2008_Estuary,NO,195,isolated_unique_b
7,305b_Assessed_2008_Estuary,NO,196,isolated_unique_b
8,305b_Assessed_2008_Estuary,NO,197,isolated_unique_b
9,305b_Assessed_2008_Estuary,NO,198,isolated_unique_b
10,305b_Assessed_2008_Estuary,NO,199,isolated_unique_b
11,305b_Assessed_2008_Estuary,NO,200,isolated_unique_b
12,305b_Assessed_2008_Estuary,NO,201,isolated_unique_b
13,305b_Assessed_2008_Estuary,NO,202,isolated_unique_b
14,305b_Assessed_2008_Estuary,NO,203,isolated_unique_b
15,305b_Assessed_2008_Estuary,NO,204,isolated_unique_b
16,305b_Assessed_2008_Estuary,NO,205,isolated_unique_b
17,305b_Assessed_2008_Estuary,NO,206,isolated_unique_b
18,305b_Assessed_2008_Estuary,NO,207,isolated_unique_b
19,305b_Assessed_2008_Estuary,NO,208,isolated_unique_b
20,305b_Assessed_2008_Estuary,NO,209,isolated_unique_b
