row_idx,source_table,source_variant,source_row_idx,partition
0,305b_Assessed_Lake_2020,Typo,110,isolated_unique_a
1,305b_Assessed_Lake_2020,Typo,111,isolated_unique_a
2,305b_Assessed_Lake_2020,Typo,112,isolated_unique_a
3,305b_Assessed_Lake_2020,Typo,113,isolated_unique_a
4,305b_Assessed_Lake_2020,Typo,114,isolated_unique_a
5,305b_Assessed_Lake_2020,Typo,115,isolated_unique_a
6,305b_Assessed_Lake_2020,Typo,116,isolated_unique_a
7,305b_Assessed_Lake_2020,Typo,117,isolated_unique_a
8,305b_Assessed_Lake_2020,Typo,118,isolated_unique_a
9,305b_Assessed_Lake_2020,Typo,119,isolated_unique_a
10,305b_Assessed_Lake_2020,Typo,120,isolated_unique_a
11,305b_Assessed_Lake_2020,Typo,121,isolated_unique_a
12,305b_Assessed_Lake_2020,Typo,122,isolated_unique_a
13,305b_Assessed_Lake_2020,Typo,123,isolated_unique_a
14,305b_Assessed_Lake_2020,Typo,124,isolated_unique_a
15,305b_Assessed_Lake_2020,Typo,125,isolated_unique_a
16,305b_Assessed_Lake_2020,Typo,126,isolated_unique_a
17,305b_Assessed_Lake_2020,Typo,127,isolated_unique_a
