row_idx,source_table,source_variant,source_row_idx,partition
0,305b_Assessed_Lake_2020,FD,19,shared
1,305b_Assessed_Lake_2020,FD,20,shared
2,305b_Assessed_Lake_2020,FD,21,shared
3,305b_Assessed_Lake_2020,FD,22,shared
4,305b_Assessed_Lake_2020,FD,23,shared
5,305b_Assessed_Lake_2020,FD,24,shared
6,305b_Assessed_Lake_2020,FD,25,shared
7,305b_Assessed_Lake_2020,FD,26,shared
8,305b_Assessed_Lake_2020,FD,27,shared
9,305b_Assessed_Lake_2020,FD,28,shared
10,305b_Assessed_Lake_2020,FD,29,shared
11,305b_Assessed_Lake_2020,FD,30,shared
12,305b_Assessed_Lake_2020,FD,31,shared
13,305b_Assessed_Lake_2020,FD,32,shared
14,305b_Assessed_Lake_2020,FD,33,shared
15,305b_Assessed_Lake_2020,FD,34,shared
16,305b_Assessed_Lake_2020,FD,35,shared
17,305b_Assessed_Lake_2020,FD,36,shared
18,305b_Assessed_Lake_2020,FD,37,shared
19,305b_Assessed_Lake_2020,FD,38,shared
20,305b_Assessed_Lake_2020,FD,39,shared
21,305b_Assessed_Lake_2020,FD,40,shared
22,305b_Assessed_Lake_2020,FD,41,shared
23,305b_Assessed_Lake_2020,FD,42,shared
24,305b_Assessed_Lake_2020,FD,43,shared
25,305b_Assessed_Lake_2020,FD,44,shared
26,305b_Assessed_Lake_2020,FD,45,shared
27,305b_Assessed_Lake_2020,FD,46,shared
28,305b_Assessed_Lake_2020,FD,47,shared
29,305b_Assessed_Lake_2020,FD,48,shared
30,305b_Assessed_Lake_2020,FD,49,shared
31,305b_Assessed_Lake_2020,FD,50,shared
32,305b_Assessed_Lake_2020,FD,51,shared
33,305b_Assessed_Lake_2020,FD,52,shared
34,305b_Assessed_Lake_2020,FD,53,shared
35,305b_Assessed_Lake_2020,FD,54,shared
36,305b_Assessed_Lake_2020,FD,55,shared
37,305b_Assessed_Lake_2020,FD,56,shared
38,305b_Assessed_Lake_2020,FD,57,shared
39,305b_Assessed_Lake_2020,FD,58,shared
40,305b_Assessed_Lake_2020,FD,59,shared
41,305b_Assessed_Lake_2020,FD,60,shared
42,305b_Assessed_Lake_2020,FD,61,shared
43,305b_Assessed_Lake_2020,FD,62,shared
44,305b_Assessed_Lake_2020,FD,63,shared
45,305b_Assessed_Lake_2020,FD,64,shared
46,305b_Assessed_Lake_2020,FD,65,shared
47,305b_Assessed_Lake_2020,FD,66,shared
48,305b_Assessed_Lake_2020,FD,67,shared
49,305b_Assessed_Lake_2020,FD,68,shared
50,305b_Assessed_Lake_2020,FD,69,shared
51,305b_Assessed_Lake_2020,FD,70,shared
52,305b_Assessed_Lake_2020,FD,71,shared
53,305b_Assessed_Lake_2020,FD,72,shared
54,305b_Assessed_Lake_2020,FD,73,shared
55,305b_Assessed_Lake_2020,FD,74,shared
56,305b_Assessed_Lake_2020,FD,146,unique_a
57,305b_Assessed_Lake_2020,FD,147,unique_a
58,305b_Assessed_Lake_2020,FD,148,unique_a
59,305b_Assessed_Lake_2020,FD,149,unique_a
60,305b_Assessed_Lake_2020,FD,150,unique_a
61,305b_Assessed_Lake_2020,FD,151,unique_a
62,305b_Assessed_Lake_2020,FD,152,unique_a
63,305b_Assessed_Lake_2020,FD,153,unique_a
64,305b_Assessed_Lake_2020,FD,154,unique_a
65,305b_Assessed_Lake_2020,FD,155,unique_a
66,305b_Assessed_Lake_2020,FD,156,unique_a
67,305b_Assessed_Lake_2020,FD,157,unique_a
68,305b_Assessed_Lake_2020,FD,158,unique_a
69,305b_Assessed_Lake_2020,FD,159,unique_a
70,305b_Assessed_Lake_2020,FD,160,unique_a
71,305b_Assessed_Lake_2020,FD,161,unique_a
72,305b_Assessed_Lake_2020,FD,162,unique_a
73,305b_Assessed_Lake_2020,FD,163,unique_a
74,305b_Assessed_Lake_2020,FD,164,unique_a
75,305b_Assessed_Lake_2020,FD,165,unique_a
76,305b_Assessed_Lake_2020,FD,166,unique_a
77,305b_Assessed_Lake_2020,FD,167,unique_a
78,305b_Assessed_Lake_2020,FD,168,unique_a
79,305b_Assessed_Lake_2020,FD,169,unique_a
80,305b_Assessed_Lake_2020,FD,170,unique_a
81,305b_Assessed_Lake_2020,FD,171,unique_a
82,305b_Assessed_Lake_2020,FD,172,unique_a
83,305b_Assessed_Lake_2020,FD,173,unique_a
84,305b_Assessed_Lake_2020,FD,174,unique_a
85,305b_Assessed_Lake_2020,FD,175,unique_a
86,305b_Assessed_Lake_2020,FD,176,unique_a
87,305b_Assessed_Lake_2020,FD,177,unique_a
88,305b_Assessed_Lake_2020,FD,178,unique_a
89,305b_Assessed_Lake_2020,FD,179,unique_a
90,305b_Assessed_Lake_2020,FD,180,unique_a
91,305b_Assessed_Lake_2020,FD,181,unique_a
92,305b_Assessed_Lake_2020,FD,182,unique_a
93,305b_Assessed_Lake_2020,FD,183,unique_a
94,305b_Assessed_Lake_2020,FD,184,unique_a
95,305b_Assessed_Lake_2020,FD,185,unique_a
96,305b_Assessed_Lake_2020,FD,186,unique_a
97,305b_Assessed_Lake_2020,FD,187,unique_a
98,305b_Assessed_Lake_2020,FD,188,unique_a
99,305b_Assessed_Lake_2020,FD,189,unique_a
100,305b_Assessed_Lake_2020,FD,190,unique_a
101,305b_Assessed_Lake_2020,FD,191,unique_a
102,305b_Assessed_Lake_2020,FD,192,unique_a
103,305b_Assessed_Lake_2020,FD,193,unique_a
104,305b_Assessed_Lake_2020,FD,194,unique_a
105,305b_Assessed_Lake_2020,FD,195,unique_a
106,305b_Assessed_Lake_2020,FD,196,unique_a
107,305b_Assessed_Lake_2020,FD,197,unique_a
108,305b_Assessed_Lake_2020,FD,198,unique_a
109,305b_Assessed_Lake_2020,FD,199,unique_a
110,305b_Assessed_Lake_2020,Typo,19,shared
111,305b_Assessed_Lake_2020,Typo,20,shared
112,305b_Assessed_Lake_2020,Typo,21,shared
113,305b_Assessed_Lake_2020,Typo,22,shared
114,305b_Assessed_Lake_2020,Typo,23,shared
115,305b_Assessed_Lake_2020,Typo,24,shared
116,305b_Assessed_Lake_2020,Typo,25,shared
117,305b_Assessed_Lake_2020,Typo,26,shared
118,305b_Assessed_Lake_2020,Typo,27,shared
119,305b_Assessed_Lake_2020,Typo,28,shared
120,305b_Assessed_Lake_2020,Typo,29,shared
121,305b_Assessed_Lake_2020,Typo,30,shared
