row_idx,source_table,source_variant,source_row_idx,partition
0,Impaired_Estuary_2008,FD,90,isolated_unique_a
1,Impaired_Estuary_2008,FD,91,isolated_unique_a
2,Impaired_Estuary_2008,FD,92,isolated_unique_a
3,Impaired_Estuary_2008,FD,93,isolated_unique_a
4,Impaired_Estuary_2008,FD,94,isolated_unique_a
5,Impaired_Estuary_2008,FD,95,isolated_unique_a
6,Impaired_Estuary_2008,FD,96,isolated_unique_a
7,Impaired_Estuary_2008,FD,97,isolated_unique_a
8,Impaired_Estuary_2008,FD,98,isolated_unique_a
9,Impaired_Estuary_2008,FD,99,isolated_unique_a
10,Impaired_Estuary_2008,FD,100,isolated_unique_a
11,Impaired_Estuary_2008,FD,101,isolated_unique_a
12,Impaired_Estuary_2008,FD,102,isolated_unique_a
13,Impaired_Estuary_2008,FD,103,isolated_unique_a
14,Impaired_Estuary_2008,FD,104,isolated_unique_a
15,Impaired_Estuary_2008,FD,105,isolated_unique_a
16,Impaired_Estuary_2008,FD,106,isolated_unique_a
17,Impaired_Estuary_2008,FD,107,isolated_unique_a
