row_idx,source_table,source_variant,source_row_idx,partition
0,Impaired_Estuary_2008,NO,0,isolated_unique_b
1,Impaired_Estuary_2008,NO,1,isolated_unique_b
2,Impaired_Estuary_2008,NO,2,isolated_unique_b
3,Impaired_Estuary_2008,NO,3,isolated_unique_b
4,Impaired_Estuary_2008,NO,4,isolated_unique_b
5,Impaired_Estuary_2008,NO,5,isolated_unique_b
6,Impaired_Estuary_2008,NO,6,isolated_unique_b
7,Impaired_Estuary_2008,NO,7,isolated_unique_b
8,Impaired_Estuary_2008,NO,8,isolated_unique_b
9,Impaired_Estuary_2008,NO,9,isolated_unique_b
10,Impaired_Estuary_2008,NO,10,isolated_unique_b
11,Impaired_Estuary_2008,NO,11,isolated_unique_b
12,Impaired_Estuary_2008,NO,12,isolated_unique_b
13,Impaired_Estuary_2008,NO,13,isolated_unique_b
14,Impaired_Estuary_2008,NO,14,isolated_unique_b
15,Impaired_Estuary_2008,NO,15,isolated_unique_b
16,Impaired_Estuary_2008,NO,16,isolated_unique_b
17,Impaired_Estuary_2008,NO,17,isolated_unique_b
