row_idx,source_table,source_variant,source_row_idx,partition
0,Impaired_Estuary_2008,NO,54,shared
1,Impaired_Estuary_2008,NO,55,shared
2,Impaired_Estuary_2008,NO,56,shared
3,Impaired_Estuary_2008,NO,57,shared
4,Impaired_Estuary_2008,NO,58,shared
5,Impaired_Estuary_2008,NO,59,shared
6,Impaired_Estuary_2008,NO,60,shared
7,Impaired_Estuary_2008,NO,61,shared
8,Impaired_Estuary_2008,NO,62,shared
9,Impaired_Estuary_2008,NO,63,shared
10,Impaired_Estuary_2008,NO,64,shared
11,Impaired_Estuary_2008,NO,65,shared
12,Impaired_Estuary_2008,NO,66,shared
13,Impaired_Estuary_2008,NO,67,shared
14,Impaired_Estuary_2008,NO,68,shared
15,Impaired_Estuary_2008,NO,69,shared
16,Impaired_Estuary_2008,NO,70,shared
17,Impaired_Estuary_2008,NO,71,shared
18,Impaired_Estuary_2008,NO,72,shared
19,Impaired_Estuary_2008,NO,73,shared
20,Impaired_Estuary_2008,NO,74,shared
21,Impaired_Estuary_2008,NO,75,shared
22,Impaired_Estuary_2008,NO,76,shared
23,Impaired_Estuary_2008,NO,77,shared
24,Impaired_Estuary_2008,NO,78,shared
25,Impaired_Estuary_2008,NO,79,shared
26,Impaired_Estuary_2008,NO,80,shared
27,Impaired_Estuary_2008,NO,81,shared
28,Impaired_Estuary_2008,NO,82,shared
29,Impaired_Estuary_2008,NO,83,shared
30,Impaired_Estuary_2008,NO,84,shared
31,Impaired_Estuary_2008,NO,85,shared
32,Impaired_Estuary_2008,NO,86,shared
33,Impaired_Estuary_2008,NO,87,shared
34,Impaired_Estuary_2008,NO,88,shared
35,Impaired_Estuary_2008,NO,89,shared
36,Impaired_Estuary_2008,NO,90,shared
37,Impaired_Estuary_2008,NO,91,shared
38,Impaired_Estuary_2008,NO,92,shared
39,Impaired_Estuary_2008,NO,93,shared
40,Impaired_Estuary_2008,NO,94,shared
41,Impaired_Estuary_2008,NO,95,shared
42,Impaired_Estuary_2008,NO,96,shared
43,Impaired_Estuary_2008,NO,97,shared
44,Impaired_Estuary_2008,NO,98,shared
45,Impaired_Estuary_2008,NO,99,shared
46,Impaired_Estuary_2008,NO,100,shared
47,Impaired_Estuary_2008,NO,101,shared
48,Impaired_Estuary_2008,NO,102,shared
49,Impaired_Estuary_2008,NO,103,shared
50,Impaired_Estuary_2008,NO,104,shared
51,Impaired_Estuary_2008,NO,105,shared
52,Impaired_Estuary_2008,NO,106,shared
53,Impaired_Estuary_2008,NO,90,unique_a
54,Impaired_Estuary_2008,NO,91,unique_a
55,Impaired_Estuary_2008,NO,92,unique_a
56,Impaired_Estuary_2008,NO,93,unique_a
57,Impaired_Estuary_2008,NO,94,unique_a
58,Impaired_Estuary_2008,NO,95,unique_a
59,Impaired_Estuary_2008,NO,96,unique_a
60,Impaired_Estuary_2008,NO,97,unique_a
61,Impaired_Estuary_2008,NO,98,unique_a
62,Impaired_Estuary_2008,NO,99,unique_a
63,Impaired_Estuary_2008,NO,100,unique_a
64,Impaired_Estuary_2008,NO,101,unique_a
65,Impaired_Estuary_2008,NO,102,unique_a
66,Impaired_Estuary_2008,NO,103,unique_a
67,Impaired_Estuary_2008,NO,104,unique_a
68,Impaired_Estuary_2008,NO,105,unique_a
69,Impaired_Estuary_2008,NO,106,unique_a
70,Impaired_Estuary_2008,NO,107,unique_a
71,Impaired_Estuary_2008,NO,108,unique_a
72,Impaired_Estuary_2008,NO,109,unique_a
73,Impaired_Estuary_2008,NO,110,unique_a
74,Impaired_Estuary_2008,NO,111,unique_a
75,Impaired_Estuary_2008,NO,112,unique_a
76,Impaired_Estuary_2008,NO,113,unique_a
77,Impaired_Estuary_2008,NO,114,unique_a
78,Impaired_Estuary_2008,NO,115,unique_a
79,Impaired_Estuary_2008,NO,116,unique_a
80,Impaired_Estuary_2008,NO,117,unique_a
81,Impaired_Estuary_2008,NO,118,unique_a
82,Impaired_Estuary_2008,NO,119,unique_a
83,Impaired_Estuary_2008,NO,120,unique_a
84,Impaired_Estuary_2008,NO,121,unique_a
85,Impaired_Estuary_2008,NO,122,unique_a
86,Impaired_Estuary_2008,NO,123,unique_a
87,Impaired_Estuary_2008,NO,124,unique_a
88,Impaired_Estuary_2008,NO,125,unique_a
89,Impaired_Estuary_2008,NO,126,unique_a
90,Impaired_Estuary_2008,NO,127,unique_a
91,Impaired_Estuary_2008,NO,128,unique_a
92,Impaired_Estuary_2008,NO,129,unique_a
93,Impaired_Estuary_2008,NO,130,unique_a
94,Impaired_Estuary_2008,NO,131,unique_a
95,Impaired_Estuary_2008,NO,132,unique_a
96,Impaired_Estuary_2008,NO,133,unique_a
97,Impaired_Estuary_2008,NO,134,unique_a
98,Impaired_Estuary_2008,NO,135,unique_a
99,Impaired_Estuary_2008,NO,136,unique_a
100,Impaired_Estuary_2008,NO,137,unique_a
101,Impaired_Estuary_2008,NO,138,unique_a
102,Impaired_Estuary_2008,NO,139,unique_a
103,Impaired_Estuary_2008,NO,140,unique_a
104,Impaired_Estuary_2008,NO,141,unique_a
105,Impaired_Estuary_2008,NO,142,unique_a
106,Impaired_Estuary_2008,NO,143,unique_a
107,Impaired_Estuary_2008,FD,54,shared
108,Impaired_Estuary_2008,FD,55,shared
109,Impaired_Estuary_2008,FD,56,shared
110,Impaired_Estuary_2008,FD,57,shared
111,Impaired_Estuary_2008,FD,58,shared
112,Impaired_Estuary_2008,FD,59,shared
113,Impaired_Estuary_2008,FD,60,shared
114,Impaired_Estuary_2008,FD,61,shared
115,Impaired_Estuary_2008,FD,62,shared
116,Impaired_Estuary_2008,FD,63,shared
117,Impaired_Estuary_2008,FD,64,shared
118,Impaired_Estuary_2008,FD,65,shared
