row_idx,source_table,source_variant,source_row_idx,partition
0,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,105,shared
1,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,106,shared
2,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,107,shared
3,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,108,shared
4,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,109,shared
5,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,110,shared
6,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,111,shared
7,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,112,shared
8,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,113,shared
9,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,114,shared
10,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,115,shared
11,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,116,shared
12,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,117,shared
13,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,118,shared
14,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,119,shared
15,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,120,shared
16,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,121,shared
17,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,122,shared
18,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,123,shared
19,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,124,shared
20,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,125,shared
21,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,126,shared
22,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,127,shared
23,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,128,shared
24,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,129,shared
25,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,130,shared
26,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,131,shared
27,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,132,shared
28,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,133,shared
29,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,134,shared
30,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,NO,135,shared
