row_idx,source_table,source_variant,source_row_idx,partition
0,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,162,isolated_unique_a
1,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,163,isolated_unique_a
2,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,164,isolated_unique_a
3,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,165,isolated_unique_a
4,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,166,isolated_unique_a
5,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,167,isolated_unique_a
6,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,168,isolated_unique_a
7,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,169,isolated_unique_a
8,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,170,isolated_unique_a
9,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,171,isolated_unique_a
10,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,172,isolated_unique_a
11,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,173,isolated_unique_a
12,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,174,isolated_unique_a
13,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,175,isolated_unique_a
14,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,176,isolated_unique_a
15,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,177,isolated_unique_a
16,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,178,isolated_unique_a
17,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,179,isolated_unique_a
18,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,180,isolated_unique_a
19,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,181,isolated_unique_a
20,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,182,isolated_unique_a
21,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,183,isolated_unique_a
22,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,184,isolated_unique_a
23,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,185,isolated_unique_a
24,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,186,isolated_unique_a
25,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,187,isolated_unique_a
26,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,188,isolated_unique_a
27,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,189,isolated_unique_a
28,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,190,isolated_unique_a
29,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,191,isolated_unique_a
30,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,192,isolated_unique_a
31,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,193,isolated_unique_a
32,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,194,isolated_unique_a
33,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,195,isolated_unique_a
34,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,196,isolated_unique_a
35,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,197,isolated_unique_a
36,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,198,isolated_unique_a
37,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,199,isolated_unique_a
38,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,200,isolated_unique_a
39,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,201,isolated_unique_a
40,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,202,isolated_unique_a
41,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,203,isolated_unique_a
42,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,204,isolated_unique_a
43,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,205,isolated_unique_a
44,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,206,isolated_unique_a
45,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,207,isolated_unique_a
46,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,208,isolated_unique_a
47,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,209,isolated_unique_a
48,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,210,isolated_unique_a
49,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,211,isolated_unique_a
50,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,212,isolated_unique_a
51,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,213,isolated_unique_a
52,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,214,isolated_unique_a
53,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,215,isolated_unique_a
