row_idx,source_table,source_variant,source_row_idx,partition
0,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,432,isolated_unique_b
1,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,433,isolated_unique_b
2,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,434,isolated_unique_b
3,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,435,isolated_unique_b
4,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,436,isolated_unique_b
5,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,437,isolated_unique_b
6,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,438,isolated_unique_b
7,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,439,isolated_unique_b
8,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,440,isolated_unique_b
9,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,441,isolated_unique_b
10,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,442,isolated_unique_b
11,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,443,isolated_unique_b
12,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,444,isolated_unique_b
13,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,445,isolated_unique_b
14,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,446,isolated_unique_b
15,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,447,isolated_unique_b
16,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,448,isolated_unique_b
17,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,449,isolated_unique_b
18,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,450,isolated_unique_b
19,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,451,isolated_unique_b
20,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,452,isolated_unique_b
21,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,453,isolated_unique_b
22,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,454,isolated_unique_b
23,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,455,isolated_unique_b
24,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,456,isolated_unique_b
25,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,457,isolated_unique_b
26,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,458,isolated_unique_b
27,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,459,isolated_unique_b
28,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,460,isolated_unique_b
29,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,461,isolated_unique_b
30,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,462,isolated_unique_b
31,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,463,isolated_unique_b
32,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,464,isolated_unique_b
33,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,465,isolated_unique_b
34,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,466,isolated_unique_b
35,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,467,isolated_unique_b
36,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,468,isolated_unique_b
37,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,469,isolated_unique_b
38,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,470,isolated_unique_b
39,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,471,isolated_unique_b
40,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,472,isolated_unique_b
41,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,473,isolated_unique_b
42,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,474,isolated_unique_b
43,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,475,isolated_unique_b
44,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,476,isolated_unique_b
45,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,477,isolated_unique_b
46,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,478,isolated_unique_b
47,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,479,isolated_unique_b
48,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,480,isolated_unique_b
49,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,481,isolated_unique_b
50,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,482,isolated_unique_b
51,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,483,isolated_unique_b
52,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,484,isolated_unique_b
