row_idx,source_table,source_variant,source_row_idx,partition
0,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,0,shared
1,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,1,shared
2,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,2,shared
3,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,3,shared
4,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,4,shared
5,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,5,shared
6,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,6,shared
7,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,7,shared
8,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,8,shared
9,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,9,shared
10,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,10,shared
11,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,11,shared
12,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,12,shared
13,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,13,shared
14,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,14,shared
15,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,15,shared
16,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,16,shared
17,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,17,shared
18,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,18,shared
19,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,19,shared
20,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,20,shared
21,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,21,shared
22,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,22,shared
23,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,23,shared
24,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,24,shared
25,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,25,shared
26,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,26,shared
27,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,27,shared
28,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,28,shared
29,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,29,shared
30,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,30,shared
31,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,31,shared
32,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,32,shared
33,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,33,shared
34,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,34,shared
35,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,35,shared
36,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,36,shared
37,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,37,shared
38,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,38,shared
39,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,39,shared
40,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,40,shared
41,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,41,shared
42,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,42,shared
43,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,43,shared
44,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,44,shared
45,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,45,shared
46,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,46,shared
47,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,47,shared
48,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,48,shared
49,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,49,shared
50,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,50,shared
51,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,51,shared
52,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,52,shared
53,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,53,shared
54,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,54,shared
55,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,55,shared
56,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,56,shared
57,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,57,shared
58,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,58,shared
59,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,59,shared
60,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,60,shared
61,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,61,shared
62,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,62,shared
63,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,63,shared
64,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,64,shared
65,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,65,shared
66,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,66,shared
67,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,67,shared
68,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,68,shared
69,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,69,shared
70,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,70,shared
71,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,71,shared
72,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,72,shared
73,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,73,shared
74,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,74,shared
75,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,75,shared
76,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,76,shared
77,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,77,shared
78,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,78,shared
79,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,79,shared
80,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,80,shared
81,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,81,shared
82,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,82,shared
83,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,83,shared
84,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,84,shared
85,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,85,shared
86,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,86,shared
87,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,87,shared
88,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,88,shared
89,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,89,shared
90,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,90,shared
91,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,91,shared
92,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,92,shared
93,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,93,shared
94,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,94,shared
95,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,95,shared
96,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,96,shared
97,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,97,shared
98,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,98,shared
99,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,99,shared
100,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,100,shared
101,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,101,shared
102,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,102,shared
103,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,103,shared
104,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,104,shared
105,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,105,shared
106,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,106,shared
107,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,107,shared
108,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,108,shared
109,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,109,shared
110,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,110,shared
111,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,111,shared
112,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,112,shared
113,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,113,shared
114,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,114,shared
115,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,115,shared
116,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,116,shared
117,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,117,shared
118,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,118,shared
119,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,119,shared
120,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,120,shared
121,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,121,shared
122,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,122,shared
123,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,123,shared
124,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,124,shared
125,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,125,shared
126,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,126,shared
127,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,127,shared
128,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,128,shared
129,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,129,shared
130,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,130,shared
131,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,131,shared
132,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,132,shared
133,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,133,shared
134,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,134,shared
135,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,135,shared
136,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,136,shared
137,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,137,shared
138,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,138,shared
139,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,139,shared
140,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,140,shared
141,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,141,shared
142,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,142,shared
143,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,143,shared
144,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,144,shared
145,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,145,shared
146,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,146,shared
147,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,147,shared
148,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,148,shared
149,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,149,shared
150,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,150,shared
151,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,151,shared
152,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,152,shared
153,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,153,shared
154,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,154,shared
155,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,155,shared
156,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,156,shared
157,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,157,shared
158,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,158,shared
159,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,159,shared
160,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,160,shared
161,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,161,shared
162,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,216,unique_a
163,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,217,unique_a
164,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,218,unique_a
165,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,219,unique_a
166,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,220,unique_a
167,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,221,unique_a
168,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,222,unique_a
169,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,223,unique_a
170,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,224,unique_a
171,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,225,unique_a
172,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,226,unique_a
173,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,227,unique_a
174,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,228,unique_a
175,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,229,unique_a
176,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,230,unique_a
177,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,231,unique_a
178,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,232,unique_a
179,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,233,unique_a
180,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,234,unique_a
181,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,235,unique_a
182,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,236,unique_a
183,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,237,unique_a
184,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,238,unique_a
185,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,239,unique_a
186,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,240,unique_a
187,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,241,unique_a
188,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,242,unique_a
189,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,243,unique_a
190,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,244,unique_a
191,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,245,unique_a
192,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,246,unique_a
193,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,247,unique_a
194,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,248,unique_a
195,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,249,unique_a
196,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,250,unique_a
197,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,251,unique_a
198,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,252,unique_a
199,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,253,unique_a
200,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,254,unique_a
201,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,255,unique_a
202,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,256,unique_a
203,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,257,unique_a
204,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,258,unique_a
205,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,259,unique_a
206,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,260,unique_a
207,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,261,unique_a
208,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,262,unique_a
209,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,263,unique_a
210,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,264,unique_a
211,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,265,unique_a
212,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,266,unique_a
213,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,267,unique_a
214,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,268,unique_a
215,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,269,unique_a
216,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,270,unique_a
217,Louisville_Metro_KY_-_Permitted_Swimming_Areas,FD,271,unique_a
