indicatorvalue,panel,panelnum(long),unit,unitnum(long),stubname,stubnamenum(long),stublabelnum(double precision),stublabel,yearvalue,yearnum(long),age,agenum(double precision),estimate(double precision),se(double precision),flagvalue
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,eSx,1,1.1,Mle,1988-1994,1,6-11 years,0.2,11.6,1.3,-
Obesity among children and adolescents aged 2-19 years,6q-11 years,3,"Percent of population, crude",1,Sex,1,1.1,Male,1999-2002,2,6-11 years,0.2,16.9,1.4,-
Obesity among children and adolescents aged 2-19 years,6-11 yers,3,"Percent of population, crude",1,Sex,1,1.1,Male,201-2004,3,6-k11 years,0.2,18.7,1.4,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Sex,1,1.1,Male,2003-2006,4,6-11 years,0.2,18.0,1.7,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Sx,1,1.1,Male,2005-2008,5,6-11 years,0.2,18.7,1.5,-
Obesity among children and adolescents aged 2-19 years,6-d11 years,3,"Percent of population, crude",1,Syex,1,1.1,Male,2007-2010,6,6-11 years,0.2,20.7,0.9,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crued",1,Sex,1,1.1,ale,2009-2012,7,6-11 years,0.2,18.3,1.1,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Sex,1,1.1,Male,2011-2014,8,6-11 years,0.2,17.6,1.5,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Sex,1,1.1,Male,2013-2016,9,6-11 years,0.2,19.6,1.6,***
Obesity among children and adolescents aged 2-19 years,6-11 yeqars,3,"Percent of population, crude",1,eSx,1,1.1,Male,2015-2018,10,6-11 years,0.2,20.9,1.6,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,Sex,1,1.2,Female,1988-1994,1,6-11 years,0.2,11.0,1.4,-
Obesity among children and adolescents aged 2-19 years,6-11 years,3,"Percent of population, crude",1,eSx,1,1.2,Female,1999-2002,2,6-11 years,0.2,14.7,1.6,e-
