row_idx,source_table,source_variant,source_row_idx,partition
0,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,968,isolated_unique_b
1,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,969,isolated_unique_b
2,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,970,isolated_unique_b
3,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,971,isolated_unique_b
4,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,972,isolated_unique_b
5,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,973,isolated_unique_b
6,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,974,isolated_unique_b
7,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,975,isolated_unique_b
8,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,976,isolated_unique_b
9,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,977,isolated_unique_b
10,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,978,isolated_unique_b
11,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,979,isolated_unique_b
12,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,980,isolated_unique_b
13,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,981,isolated_unique_b
14,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,982,isolated_unique_b
15,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,983,isolated_unique_b
16,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,984,isolated_unique_b
17,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,985,isolated_unique_b
18,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,986,isolated_unique_b
19,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,987,isolated_unique_b
20,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,988,isolated_unique_b
21,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,989,isolated_unique_b
22,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,990,isolated_unique_b
23,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,991,isolated_unique_b
24,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,992,isolated_unique_b
25,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,993,isolated_unique_b
26,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,994,isolated_unique_b
27,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,995,isolated_unique_b
28,State_of_Oklahoma_Revolving_Funds_-_2011,Typo,996,isolated_unique_b
