agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
18500,CORPORATION COMMISSION,215,Corp.Comm. Plugging Fund,"TITLE 17, SECTION 180.10",2012,3,$2331715.78
18500,CORPORATION COMMISSION,220,Public Utility Regulation R F,"TITLE 17,SECTION 180.11",2012,3,$2140184.53
18500,CORPORATION COMMISSION,225,Leaking Undergrd Stg Tank,"TITLE 17, SECTION 365",2012,3,$604480.41
18500,CORPORATION COMMISSION,230,Oil & Gas Division Fund,"TITLE 17, SEC 57",2012,3,$1235658.80
18500,CORPORATION COMMISSION,240,Emergency 911 Assessment Fund,"TITLE 17, SEC. 139.109",2012,2,$5195.30
18500,CORPORATION COMMISSION,245,Trucking One-Stop Shop Fund,TITLE 47 SECTION 1167D,2012,2,$3456389.88
18500,CORPORATION COMMISSION,400,Federal Funds,"TITLE 62, SEC. 41.8",2012,3,$949.94
18500,CORPORATION COMMISSION,405,Undergrd Storage Tank Grant Pr,,2012,3,$6763.51
18500,CORPORATION COMMISSION,425,Leaking Storage Tank Trust Fun,"TITLE 82, SEC. 934.1 B, AMENDED BY HB 1415,",2012,3,$58932.42
18500,CORPORATION COMMISSION,490,American Recov. & Reinv. Act,,2012,3,$6251.98
18500,CORPORATION COMMISSION,494,Surplus Property Fund,"TITLE 74, SECTION 62.5",2899,3,$0.00
18500,CORPORATION COMMISSION,495,Surplus Property Fund,"TITLE 74, SECTION 62.5",2012,3,$0.00
18500,CORPORATION COMMISSION,567,Corp Commission Gas Seep Fund,TITLE 52 SECTION 317.1,2012,3,$0.00
19000,COSMETOLOGY BOARD,200,Bd Of Cosmetology Rev Fund,"TITLE 59, SEC. 199.15",2012,3,$821004.85
19900,COURT OF CRIMINAL APPEALS,200,Revolving Fund,"TITLE 62, SECTION 34.56 & 34.9",2012,3,$269.71
20400,J. M. DAVIS ARMS & HIST. MUSEUM,200,J M Davis Memorial Comm Fund,"TITLE 53, SEC. 201D",1445,3,$41966.21
21500,BOARD OF DENTISTRY,200,State Dental Fund,"TITLE 59, SEC. 328.42",1088,3,$825654.01
21900,DISTRICT COURTS,235,Lengthy Trial Revolving Fund,"TITLE 28, SECTION 86",2012,3,$481174.40
21900,DISTRICT COURTS,443,Interagency Reimb Fund,"TITLE 74, SECTION 581",2012,3,$2193965.82
22000,DISTRICT ATTORNEYS COUNCIL,210,District Atty Council Rev.,"TITLE 19, SEC. 215.28",2012,3,$3562179.26
