row_idx,source_table,source_variant,source_row_idx,partition
0,305b_Assessed_2008_Estuary,FD,84,isolated_unique_a
1,305b_Assessed_2008_Estuary,FD,85,isolated_unique_a
2,305b_Assessed_2008_Estuary,FD,86,isolated_unique_a
3,305b_Assessed_2008_Estuary,FD,87,isolated_unique_a
4,305b_Assessed_2008_Estuary,FD,88,isolated_unique_a
5,305b_Assessed_2008_Estuary,FD,89,isolated_unique_a
6,305b_Assessed_2008_Estuary,FD,90,isolated_unique_a
7,305b_Assessed_2008_Estuary,FD,91,isolated_unique_a
8,305b_Assessed_2008_Estuary,FD,92,isolated_unique_a
9,305b_Assessed_2008_Estuary,FD,93,isolated_unique_a
10,305b_Assessed_2008_Estuary,FD,94,isolated_unique_a
11,305b_Assessed_2008_Estuary,FD,95,isolated_unique_a
12,305b_Assessed_2008_Estuary,FD,96,isolated_unique_a
13,305b_Assessed_2008_Estuary,FD,97,isolated_unique_a
14,305b_Assessed_2008_Estuary,FD,98,isolated_unique_a
15,305b_Assessed_2008_Estuary,FD,99,isolated_unique_a
16,305b_Assessed_2008_Estuary,FD,100,isolated_unique_a
17,305b_Assessed_2008_Estuary,FD,101,isolated_unique_a
18,305b_Assessed_2008_Estuary,FD,102,isolated_unique_a
19,305b_Assessed_2008_Estuary,FD,103,isolated_unique_a
20,305b_Assessed_2008_Estuary,FD,104,isolated_unique_a
