row_idx,source_table,source_variant,source_row_idx,partition
0,305b_Assessed_2008_Estuary,NO,63,shared
1,305b_Assessed_2008_Estuary,NO,64,shared
2,305b_Assessed_2008_Estuary,NO,65,shared
3,305b_Assessed_2008_Estuary,NO,66,shared
4,305b_Assessed_2008_Estuary,NO,67,shared
5,305b_Assessed_2008_Estuary,NO,68,shared
6,305b_Assessed_2008_Estuary,NO,69,shared
7,305b_Assessed_2008_Estuary,NO,70,shared
8,305b_Assessed_2008_Estuary,NO,71,shared
9,305b_Assessed_2008_Estuary,NO,72,shared
10,305b_Assessed_2008_Estuary,NO,73,shared
11,305b_Assessed_2008_Estuary,NO,74,shared
12,305b_Assessed_2008_Estuary,NO,75,shared
13,305b_Assessed_2008_Estuary,NO,76,shared
14,305b_Assessed_2008_Estuary,NO,77,shared
15,305b_Assessed_2008_Estuary,NO,78,shared
16,305b_Assessed_2008_Estuary,NO,79,shared
17,305b_Assessed_2008_Estuary,NO,80,shared
18,305b_Assessed_2008_Estuary,NO,81,shared
19,305b_Assessed_2008_Estuary,NO,82,shared
20,305b_Assessed_2008_Estuary,NO,83,shared
21,305b_Assessed_2008_Estuary,NO,84,shared
22,305b_Assessed_2008_Estuary,NO,85,shared
23,305b_Assessed_2008_Estuary,NO,86,shared
24,305b_Assessed_2008_Estuary,NO,87,shared
25,305b_Assessed_2008_Estuary,NO,88,shared
26,305b_Assessed_2008_Estuary,NO,89,shared
27,305b_Assessed_2008_Estuary,NO,90,shared
28,305b_Assessed_2008_Estuary,NO,91,shared
29,305b_Assessed_2008_Estuary,NO,92,shared
30,305b_Assessed_2008_Estuary,NO,93,shared
31,305b_Assessed_2008_Estuary,NO,94,shared
32,305b_Assessed_2008_Estuary,NO,95,shared
33,305b_Assessed_2008_Estuary,NO,96,shared
34,305b_Assessed_2008_Estuary,NO,97,shared
35,305b_Assessed_2008_Estuary,NO,98,shared
36,305b_Assessed_2008_Estuary,NO,99,shared
37,305b_Assessed_2008_Estuary,NO,100,shared
38,305b_Assessed_2008_Estuary,NO,101,shared
39,305b_Assessed_2008_Estuary,NO,102,shared
40,305b_Assessed_2008_Estuary,NO,103,shared
41,305b_Assessed_2008_Estuary,NO,104,shared
42,305b_Assessed_2008_Estuary,NO,105,shared
43,305b_Assessed_2008_Estuary,NO,106,shared
44,305b_Assessed_2008_Estuary,NO,107,shared
45,305b_Assessed_2008_Estuary,NO,108,shared
46,305b_Assessed_2008_Estuary,NO,109,shared
47,305b_Assessed_2008_Estuary,NO,110,shared
48,305b_Assessed_2008_Estuary,NO,111,shared
49,305b_Assessed_2008_Estuary,NO,112,shared
50,305b_Assessed_2008_Estuary,NO,113,shared
51,305b_Assessed_2008_Estuary,NO,114,shared
52,305b_Assessed_2008_Estuary,NO,115,shared
53,305b_Assessed_2008_Estuary,NO,116,shared
54,305b_Assessed_2008_Estuary,NO,117,shared
55,305b_Assessed_2008_Estuary,NO,118,shared
56,305b_Assessed_2008_Estuary,NO,119,shared
57,305b_Assessed_2008_Estuary,NO,120,shared
58,305b_Assessed_2008_Estuary,NO,121,shared
59,305b_Assessed_2008_Estuary,NO,122,shared
60,305b_Assessed_2008_Estuary,NO,123,shared
61,305b_Assessed_2008_Estuary,NO,124,shared
62,305b_Assessed_2008_Estuary,NO,125,shared
63,305b_Assessed_2008_Estuary,NO,126,unique_a
64,305b_Assessed_2008_Estuary,NO,127,unique_a
65,305b_Assessed_2008_Estuary,NO,128,unique_a
66,305b_Assessed_2008_Estuary,NO,129,unique_a
67,305b_Assessed_2008_Estuary,NO,130,unique_a
68,305b_Assessed_2008_Estuary,NO,131,unique_a
69,305b_Assessed_2008_Estuary,NO,132,unique_a
