row_idx,source_table,source_variant,source_row_idx,partition
0,305b_Assessed_Lake_2020,FD,56,isolated_unique_b
1,305b_Assessed_Lake_2020,FD,57,isolated_unique_b
2,305b_Assessed_Lake_2020,FD,58,isolated_unique_b
3,305b_Assessed_Lake_2020,FD,59,isolated_unique_b
4,305b_Assessed_Lake_2020,FD,60,isolated_unique_b
5,305b_Assessed_Lake_2020,FD,61,isolated_unique_b
6,305b_Assessed_Lake_2020,FD,62,isolated_unique_b
7,305b_Assessed_Lake_2020,FD,63,isolated_unique_b
8,305b_Assessed_Lake_2020,FD,64,isolated_unique_b
9,305b_Assessed_Lake_2020,FD,65,isolated_unique_b
10,305b_Assessed_Lake_2020,FD,66,isolated_unique_b
11,305b_Assessed_Lake_2020,FD,67,isolated_unique_b
12,305b_Assessed_Lake_2020,FD,68,isolated_unique_b
13,305b_Assessed_Lake_2020,FD,69,isolated_unique_b
14,305b_Assessed_Lake_2020,FD,70,isolated_unique_b
15,305b_Assessed_Lake_2020,FD,71,isolated_unique_b
16,305b_Assessed_Lake_2020,FD,72,isolated_unique_b
17,305b_Assessed_Lake_2020,FD,73,isolated_unique_b
