object_id,reqid,request_date,personpremise,address_one,zip,activity_date,activitytypeid,activity_type_desc
947,698088,2020/05/21 03:59:59+00,PENN STATION,4247 OUTER LOOP,40219.0,2020/05/27 03:59:59+00,7,FIELD
948,697592,2020/05/12 03:59:59+00,FORD TRUCK PLANT,3001 CHAMBERLAIN LANE,40241.0,2020/05/12 03:59:59+00,7,FIELD
949,698096,2020/05/20 03:59:59+00,KROGER L-763,520 N 35TH ST,40212.0,2020/05/21 03:59:59+00,7,FIELD
950,697782,2020/05/14 03:59:59+00,INDI'S RESTAURANT,3353 FERN VALLEY RD,40213.0,2020/05/19 03:59:59+00,7,FIELD
951,698115,2020/05/21 03:59:59+00,FORD TRUK PLANT,2000 FERN VALLEY RD,40213.0,2020/05/28 03:59:59+00,7,FIELD
952,697798,2020/05/15 03:59:59+00,BURGER KING #892,9120 TAYLORSVILLE RD,40299.0,2020/05/19 03:59:59+00,7,FIELD
953,698169,2020/05/21 03:59:59+00,TACO BELL,6501 PARAMOUNT PARK DR,40213.0,2020/05/26 03:59:59+00,7,FIELD
954,697901,2020/05/18 03:59:59+00,PAUL'S FRUIT MARKET #4,4946 BROWNSBORO RD,40222.0,2020/05/19 03:59:59+00,7,FIELD
955,698343,2020/05/27 03:59:59+00,LOWE'S,4930 NORTON HEALTHCARE BLVD,40241.0,2020/05/28 03:59:59+00,7,FIELD
956,697993,2020/05/19 03:59:59+00,WALMART #526,3706 DIANN MARIE RD,40241.0,2020/05/20 03:59:59+00,7,FIELD
957,698852,2020/06/04 03:59:59+00,LOWES,501 HURSTBOURNE PKWY,40222.0,2020/06/11 03:59:59+00,7,FIELD
958,698076,2020/05/20 03:59:59+00,MCDONALD'S,5015 SHELBYVILLE RD,40207.0,2020/05/22 03:59:59+00,7,FIELD
959,698896,2020/05/27 03:59:59+00,BELLARMINE UNIVERSITY,2001 NEWBURG RD,40205.0,2020/05/27 03:59:59+00,7,FIELD
960,698077,2020/05/20 03:59:59+00,SUBWAY,1229 GOSS AVE,40217.0,2020/05/21 03:59:59+00,7,FIELD
961,698116,2020/05/19 03:59:59+00,CLUBHOUSE AT COOPER FARMS,10500 LEVEN BLVD,40229.0,2020/05/21 03:59:59+00,7,FIELD
962,698963,2020/06/08 03:59:59+00,MCDONALD'S #6834,8220 PRESTON HWY,40219.0,2020/06/29 03:59:59+00,7,FIELD
963,698221,2020/05/22 03:59:59+00,POPEYE'S,7528 DIXIE HWY,40258.0,2020/05/26 03:59:59+00,7,FIELD
964,695610,2020/04/15 03:59:59+00,MEIJER #160,4500 S HURSTBOURNE PKWY,40299.0,2020/04/16 03:59:59+00,7,FIELD
965,698991,2020/06/08 03:59:59+00,AT & T STORE,6661 DIXIE HWY,40258.0,2020/06/24 03:59:59+00,7,FIELD
966,698564,2020/05/29 03:59:59+00,QDOBA #2029,1500 BARDSTOWN RD,40205.0,2020/06/03 03:59:59+00,7,FIELD
967,695667,2020/04/15 03:59:59+00,NEVRAMO,5808 JOHNSONTOWN ROAD,40272.0,2020/04/16 03:59:59+00,7,FIELD
968,697895,2020/05/18 03:59:59+00,EMW WOMEN'S SURGICAL CENTER,136 W MARKET ST,40202.0,2020/05/19 03:59:59+00,7,FIELD
969,699378,2020/06/16 03:59:59+00,MCDONALD'S,2500 DIXIE HWY,40216.0,2020/06/17 03:59:59+00,7,FIELD
970,698993,2020/06/08 03:59:59+00,SUPERMERCADO GUANAJUATO #2,6201 PRESTON HWY,40219.0,2020/06/10 03:59:59+00,7,FIELD
971,695726,2020/04/16 03:59:59+00,LITTLE CAESARS,6714 OUTER LOOP,40228.0,2020/04/17 03:59:59+00,7,FIELD
972,700965,2020/07/11 03:59:59+00,HEINE BROTHERS COFFEE,2714 FRANKFORT AVE,40206.0,2020/07/11 03:59:59+00,7,FIELD
973,699014,2020/06/09 03:59:59+00,THE WOODS AT ST THOMAS,6701 FALLEN LEAF CIRCLE,40241.0,2020/06/11 03:59:59+00,7,FIELD
974,695786,2020/04/16 03:59:59+00,HUNSINGER LANE LAUNDRY,3044 HUNSINGER LANE,40220.0,2020/04/17 03:59:59+00,7,FIELD
975,701048,2020/07/13 03:59:59+00,ALL ABOUT KIDS,2531 BLANKENBAKER PKY,40299.0,2020/07/15 03:59:59+00,7,FIELD
976,699377,2020/06/16 03:59:59+00,EXECUTIVE STRIKE & SPARE,911 PHILLIPS LN,40209.0,2020/06/17 03:59:59+00,7,FIELD
977,697913,2020/05/18 03:59:59+00,LONG JOHN SILVER'S #14,3407 W BROADWAY,40211.0,2020/05/19 03:59:59+00,7,FIELD
978,696068,2020/04/20 03:59:59+00,SCHELLERS FITNESS & CYCLING,8323 PRESTON HIGHWAY,40219.0,2020/04/23 03:59:59+00,7,FIELD
979,701057,2020/07/13 03:59:59+00,KROGER L-763,520 N 35TH ST,40212.0,2020/07/14 03:59:59+00,7,FIELD
980,699407,2020/06/16 03:59:59+00,EL NOPAL,962 BAXTER AVE,40204.0,2020/06/23 03:59:59+00,7,FIELD
981,697931,2020/05/18 03:59:59+00,DOLLAR GENERAL #538,11909 DIXIE HWY,40272.0,2020/05/19 03:59:59+00,7,FIELD
982,696147,2020/04/14 03:59:59+00,SACRED HEART VILLAGE ONE,2110 PAYNE ST #209,40206.0,2020/04/21 03:59:59+00,7,FIELD
983,701111,2020/07/13 03:59:59+00,TOP NOTCH,3300 ALGONQUIN PKWY,40211.0,2020/07/14 03:59:59+00,7,FIELD
984,699790,2020/06/23 03:59:59+00,THE LANTERN AT MORNING POINTE ALZHEIMER’S CENTER O,4701 S HURSTBOURNE LN,40291.0,2020/07/07 03:59:59+00,7,FIELD
985,697950,2020/05/13 03:59:59+00,RESIDENCE,1606 TREVILIAN WAY,40205.0,2020/05/15 03:59:59+00,7,FIELD
986,696152,2020/04/17 03:59:59+00,RESIDENT,13401 SPRING VILLA CT UNIT 203,40245.0,2020/04/21 03:59:59+00,7,FIELD
987,694428,2020/04/01 03:59:59+00,DR PEPPER/7UP BOTTLING,6207 STRAWBERRY LN,40214.0,2020/04/03 03:59:59+00,7,FIELD
988,699795,2020/06/23 03:59:59+00,FAIRDALE POST OFFICE,4118 MOUNT HOLLY RD,40118.0,2020/07/09 03:59:59+00,7,FIELD
989,698131,2020/05/21 03:59:59+00,BEN'S BARGAIN CENTER,10713 DIXIE HWY,40272.0,2020/05/22 03:59:59+00,7,FIELD
990,696164,2020/04/07 03:59:59+00,GENERAL ELECTRIC,4000 BUECHEL BANK RD,40225.0,2020/04/22 03:59:59+00,7,FIELD
991,694454,2020/04/02 03:59:59+00,PACKING UNLIMITED,1729 MCCLOSKEY AVE,40210.0,2020/04/08 03:59:59+00,7,FIELD
992,699926,2020/06/24 03:59:59+00,MCDONALD'S #1,8600 DIXIE HWY,40258.0,2020/06/25 03:59:59+00,7,FIELD
993,698175,2020/05/21 03:59:59+00,SAVE-A-LOT,2626 PORTLAND AVE,40212.0,2020/05/21 03:59:59+00,7,FIELD
994,696440,2020/04/24 03:59:59+00,MCDONALD'S #1,8600 DIXIE HWY,40258.0,2020/04/25 03:59:59+00,7,FIELD
995,694675,2020/04/03 03:59:59+00,WALMART #5183,3800 RUCKRIEGEL PKWY,40299.0,2020/04/07 03:59:59+00,7,FIELD
996,700276,2020/06/27 03:59:59+00,SUBWAY,3935 S 7TH ST,40216.0,2020/06/30 03:59:59+00,7,FIELD
