object_id(long),reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc
1420.0,695930.0,2020/04/16 03:59:59+00,RESIDENT,1687 HAROLD AVE,40210.0,2020/04/16 03:59:59+00,7,FIELD
1421.0,695956.0,2020/04/20 03:59:59+00,HI-WAY MUFFLER SALES,7119 CANE RUN RD,40258.0,2020/04/22 03:59:59+00,7,FIELD
1422.0,695986.0,2020/04/20 03:59:59+00,KROGER L-350,5533 NEW CUT RD,40214.0,2020/04/20 03:59:59+00,7,FIELD
1423.0,696171.0,2020/04/20 03:59:59+00,UPS,911 GRADE LN,40213.0,2020/04/22 03:59:59+00,7,FIELD
1424.0,696244.0,2020/04/20 03:59:59+00,RESIDENT,1732 S 23RD ST,40210.0,2020/04/22 03:59:59+00,7,FIELD
1425.0,696338.0,2020/04/24 03:59:59+00,LC INDUSTRIES,1900 BROWNSBORO RD,40206.0,2020/05/05 03:59:59+00,7,FIELD
1426.0,696373.0,2020/04/14 03:59:59+00,APARTMENT COMPLEX,2505 BROWNSBORO RD,40206.0,2020/04/22 03:59:59+00,7,FIELD
1427.0,696462.0,2020/04/24 03:59:59+00,TACO BELL,10701 DIXIE HWY,40272.0,2020/04/25 03:59:59+00,7,FIELD
1428.0,696545.0,2020/04/27 03:59:59+00,RESIDENT,1921 ELBA DRIVE,40218.0,2020/04/30 03:59:59+00,7,FIELD
1429.0,696552.0,2020/04/27 03:59:59+00,CAPTAIN D'S #3329,3937 DIXIE HWY,40217.0,2020/04/28 03:59:59+00,7,FIELD
1430.0,696594.0,2020/04/24 03:59:59+00,RESIDENCE,635 CALDWELL ST,40203.0,2020/04/28 03:59:59+00,7,FIELD
1431.0,696613.0,2020/04/28 03:59:59+00,DOLLAR TREE #2410,9206 WESTPORT RD,40242.0,2020/04/28 03:59:59+00,7,FIELD
1432.0,696655.0,2020/04/28 03:59:59+00,THE PLANT KINGDOM,4101 WESTPORT RD,40207.0,2020/04/29 03:59:59+00,7,FIELD
1433.0,696956.0,2020/05/01 03:59:59+00,BB&T,2501 W BROADWAY,40211.0,2020/05/02 03:59:59+00,7,FIELD
1434.0,697054.0,2020/05/04 03:59:59+00,RESIDENT,"6605 STRAWBERRY LANE, UNIT 3",40214.0,2020/05/05 03:59:59+00,7,FIELD
1435.0,701982.0,2020/07/22 03:59:59+00,WHITE CASTLE #28,7200 CEDAR SPRINGS BLVD,40291.0,2020/07/24 03:59:59+00,7,FIELD
1436.0,697892.0,2020/05/18 03:59:59+00,LOWES,4930 NORTON HEALTHCARE BLVD,40241.0,2020/05/19 03:59:59+00,7,FIELD
1437.0,697948.0,2020/05/16 03:59:59+00,DOLLAR TREE,1850 S HURSTBOURNE LN,40220.0,2020/05/18 03:59:59+00,7,FIELD
1438.0,698121.0,2020/05/21 03:59:59+00,RALLY'S,3455 TAYLOR BLVD,40215.0,2020/05/21 03:59:59+00,7,FIELD
1439.0,698173.0,2020/05/21 03:59:59+00,CHICAGO STEAK & LEMONADE,4501 CANE RUN RD,40216.0,2020/05/21 03:59:59+00,7,FIELD
1440.0,698198.0,2020/05/22 03:59:59+00,LOWES,9800 PRESTON CROSSING BLVD,40229.0,2020/06/12 03:59:59+00,7,FIELD
1441.0,698218.0,2020/05/22 03:59:59+00,ALDI #38,3442 PRESTON HWY,40217.0,2020/05/28 03:59:59+00,7,FIELD
1442.0,698874.0,2020/06/04 03:59:59+00,THORNTONS #60,3320 PRESTON HWY,40213.0,2020/06/05 03:59:59+00,7,FIELD
1443.0,699348.0,2020/06/15 03:59:59+00,SUBWAY,4801 OUTER LOOP,40219.0,2020/06/30 03:59:59+00,7,FIELD
1444.0,699780.0,2020/06/23 03:59:59+00,HOME DEPOT,8232 PRESTON HWY,40219.0,2020/07/14 03:59:59+00,7,FIELD
1445.0,699965.0,2020/06/25 03:59:59+00,MCDONALD'S #1,8600 DIXIE HWY,40258.0,2020/06/25 03:59:59+00,7,FIELD
1446.0,700197.0,2020/06/29 03:59:59+00,MIRAGE SALON & SPA,6705 SHEPHERDSVILLE RD,40228.0,2020/08/17 03:59:59+00,7,FIELD
1447.0,701019.0,2020/07/11 03:59:59+00,KROGER L-292,7509 TERRY RD,40258.0,2020/07/14 03:59:59+00,7,FIELD
1448.0,701037.0,2020/07/11 03:59:59+00,KROGER L-346,3039 BRECKENRIDGE LN,40220.0,2020/07/14 03:59:59+00,7,FIELD
