reqid(long),request_date,personpremise,address_one,zip(double precision),activity_date,activitytypeid(long),activity_type_desc,object_id(long)
714709,2021/01/07 05:00:00+00,COUSIN'S LIQUORS,1233 W HILL ST,40210.0,2021/01/07 05:00:00+00,4,SURVEY,2403
714716,2021/01/07 05:00:00+00,HILLTOP CHICKEN & MORE,1209 W HILL ST,40210.0,2021/01/07 05:00:00+00,4,SURVEY,2404
714718,2021/01/07 05:00:00+00,RALLY'S,2502 PRESTON HWY,40217.0,2021/01/07 05:00:00+00,4,SURVEY,2405
714719,2021/01/07 05:00:00+00,GREAT WOK,2502 S PRESTON ST,40217.0,2021/01/07 05:00:00+00,4,SURVEY,2406
714720,2021/01/07 05:00:00+00,PIZZA HUT #036947,2508 PRESTON HWY,40217.0,2021/01/07 05:00:00+00,4,SURVEY,2407
714721,2021/01/07 05:00:00+00,KFC,2513 PRESTON HWY,40217.0,2021/01/07 05:00:00+00,4,SURVEY,2408
714722,2021/01/07 05:00:00+00,PENN STATION,3035 PRESTON HWY,40217.0,2021/01/07 05:00:00+00,4,SURVEY,2409
714404,2021/01/05 05:00:00+00,SMOR BAKERI AT OSKAR'S,3797 POPLAR LEVEL RD,40213.0,2021/01/05 05:00:00+00,2,SURVEY,2410
714488,2021/01/06 05:00:00+00,TOONERVILLE DELI,1201 S 1ST ST,40203.0,2021/01/06 05:00:00+00,5,SURVEY,2411
714723,2021/01/07 05:00:00+00,SALSARITA'S,285 N HUBBARDS LN,40207.0,2021/01/07 05:00:00+00,4,SURVEY,2412
714724,2021/01/07 05:00:00+00,SUBWAY #24964,3314 PRESTON HWY,40213.0,2021/01/07 05:00:00+00,5,SURVEY,2413
714725,2021/01/07 05:00:00+00,NEW WAVE BURRITOS,3311 PRESTON HWY,40213.0,2021/01/07 05:00:00+00,4,SURVEY,2414
714726,2021/01/07 05:00:00+00,THORNTONS #60,3320 PRESTON HWY,40213.0,2021/01/07 05:00:00+00,4,SURVEY,2415
714727,2021/01/07 05:00:00+00,SLEEP INN AIRPORT,3330 PRESTON HWY,40213.0,2021/01/07 05:00:00+00,4,SURVEY,2416
714728,2021/01/07 05:00:00+00,VISION FIRST,291 N HUBBARDS LANE,40202.0,2021/01/07 05:00:00+00,4,SURVEY,2417
714729,2021/01/07 05:00:00+00,EL NOPAL,10626 DIXIE HWY,40272.0,2021/01/07 05:00:00+00,4,SURVEY,2418
714730,2021/01/07 05:00:00+00,FRANK'S MEAT & PRODUCE DELI,3342 PRESTON HWY,40213.0,2021/01/07 05:00:00+00,4,SURVEY,2419
714731,2021/01/07 05:00:00+00,MCDONALD'S #7940,3350 PRESTON HWY,40213.0,2021/01/07 05:00:00+00,3,SURVEY,2420
714732,2021/01/07 05:00:00+00,ARBY'S #5430,10704 DIXIE HWY,40272.0,2021/01/07 05:00:00+00,4,SURVEY,2421
714733,2021/01/07 05:00:00+00,FAMILY DOLLAR #30271,8010 PRESTON HWY,40219.0,2021/01/07 05:00:00+00,4,SURVEY,2422
714734,2021/01/07 05:00:00+00,GRAB & GO,10501 DIXIE HWY,40272.0,2021/01/07 05:00:00+00,4,SURVEY,2423
714735,2021/01/07 05:00:00+00,THE ZONE COMIC SHOP,291 N. HUBBARDS LANE,40202.0,2021/01/07 05:00:00+00,4,SURVEY,2424
714736,2021/01/07 05:00:00+00,BURGER KING,10600 DIXIE HWY,40258.0,2021/01/07 05:00:00+00,2,SURVEY,2425
714737,2021/01/07 05:00:00+00,TACO BELL,6306 GREENWOOD RD,40258.0,2021/01/07 05:00:00+00,5,SURVEY,2426
714738,2021/01/07 05:00:00+00,MCDONALD'S,287 N HUBBARDS LN,40207.0,2021/01/07 05:00:00+00,2,SURVEY,2427
714739,2021/01/07 05:00:00+00,LA CIENFUEGUERA FOOD MARKET,1937 LOWER HUNTERS TRACE,40216.0,2021/01/07 05:00:00+00,3,SURVEY,2428
714740,2021/01/07 05:00:00+00,PANERA BREAD #1849,6900 DIXIE HWY,40258.0,2021/01/07 05:00:00+00,4,SURVEY,2429
