row_idx,source_table,source_variant,source_row_idx,partition
0,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,Typo,14,isolated_unique_a
1,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,Typo,15,isolated_unique_a
2,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,Typo,16,isolated_unique_a
3,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,Typo,17,isolated_unique_a
4,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,Typo,18,isolated_unique_a
5,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,Typo,19,isolated_unique_a
6,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,Typo,20,isolated_unique_a
7,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,Typo,21,isolated_unique_a
8,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,Typo,22,isolated_unique_a
9,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,Typo,23,isolated_unique_a
10,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,Typo,24,isolated_unique_a
11,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,Typo,25,isolated_unique_a
12,Louisville_Metro_KY_-_Permitted_Hotels_and_Motels,Typo,26,isolated_unique_a
