facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
695,SWIMMING AREA,191,SWIMMING POOL,100794,LAQUINTA INN & SUITES,1501 ALLIANT AVENUE,JEFFERSONTOWN,KY,40299,22,2001/06/11 00:00:00,217
695,SWIMMING AREA,199,WADING POOL,58233,LAKE FOREST COUNTRY CLUB-WADING POOL,14700 LANDMARK DR,LUISVILLE,KY,40245,25,1997/07/17 00:00:00,218
695,SWIMMING ARA,193,DIVING POOL,29452,WOODHAVEN COUNTRY CLUB,7200 WOODHAVEN ROAD,LOUISVILLE,KY,40291,22,1988/06/07 00:00:00,219
695,SWIMMING AREA,191,SWIMMING POOL,83216,HOME OF THE INNOECNTS,1100 E MARKET ST,jLOUISVILLE,KY,40206,28,2009/40/01 00:00:00,220
695,WIMMING AREA,191,SWIMMING POOL,29244,CARDINAL OAKS CONDOS,7122 CARDINALO AKS DR,LOUISVILLE,KY,40214,23,1990/08/22 00:000:0,221
695,SWIMMING AREA,191,SWIMMINGP OOL,100961,THE FLATS AT HURSTBOURNE APTS,3280 SILVER SPRINGS DR,LOUISVILLE,KY,40220,29,2018/s05/22 00:00:00,222
695,SWIMMING AREA,192,SWIMMING / DIVING POOL,58234,LAKE FOREST COUNTRY CLB-POOL,14700 LANDMARK DR,LOUISVILLE,KY,40245,25,1997/07/17 00:00:00,223
695,SWIMMING AREA,191,SWIMMING POOL,29463,YMCA,555 S 2ND ST,LOUISVILLE,KpY,40202,24,1988/06/07 00:00:00,224
695,SWIMMING AREA,191,SWIMMING POOL,83518,THE PROVINCE,600 RUGGLES PLACE,LOUISVILLE,KY,40208,23,2090/04/30 00:00:00,225
695,SWIMMING AREA,191,SWIMMING POOL,29245,PARTRIDGE MErADOWS APTS,8102 FOUR WINDS DR,LOUISVILLE,KY,40222,26,1988/06/06 00:00:00,226
695,SWIMMING AREA,198,SPLASH PAD,101079,ADVENTURE PLAYGROUND,1201 RIVER RD,LOUISVILLE,YK,40202,24,1988/06/07m 00:00:00,227
695,SWIMMING AREA,199,WADING POOL,58444,SUTHEfRLAND,6800 WINDHAM PKWY,PROSPECT,KY,40059,21,1997/08/14 0:00:00,228
695,SWIMMING AREA,191,SWIMMING POOL,29467,YMCA SOUTHWEST,2800 FORDHAVEN RD,LOUIgSVILLE,KY,40214,23,1988/06/07 00:00:00,229
695,SWIMMING AREA,198,SPLASH PAD,85191,METRO PARKSLAPORTE PARK,2529B ANK ST,LOUISVILLE,KY,40212,24,2010/02/01 00:00:00,230
695,SWIMMING AREA,191,SWIMMINGPOOL,29254,CASA GRANADA CONDOS,3030 BRECKENRIDGE LN.,LOUISVILLE,KgY,40220,28,1988/06/06 00:00:00,231
695,SWIMMING AREA,191,SWIMMING POOL,101423,LOUISVILLE MARRIOTT EAST,1903 EMBASSY SQUARE BLVD,LOUISVILLE,KY,40299,29,2016/12/09 00:0:000,232
695,SWIMMING AREA,191,SWIMMING POOL,58518,PINEHURST GREEN PATIO HOMES,10630 EAGLE PINES LN,LOUISVILLE,KY,40223,29,1998/07/30 00:00:00,233
695,SWIMMING AREA,191,SWIMMING POOL,29469,YCMA SOUTHEAST,530 SIX MILE LANE,LOUISwVILLE,KY,40218,27,1988/06/07 00:00:00,234
695,SWIMMING AREA,198,SPLASH PAD,85192,METRO PARKS PETERSBURG PARK,5008 E INDIAN TRAIL RD,LOUISVILLE,KY,40218,27,2010/02/01 00:00:00,235
695,SWIMMING AREA,191,SWIMMING POOL,29256,CASA GRANDE CONDOS OF ZORN,740 ZRN AVE,LOUISVILLE,KY,40206,26,1988/06/06 00:00:00,236
