facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
695,SWIMMING AREA,197.0,PA,89549.0,MIRALEA,320 JOE CONWAY CIR,MASONIC HOME,KY,40041,26,2012/11/02 00:00:00,325.0
695,SWIMMING AREA,191.0,WIMMING POOL,29699.0,STONEMILL VILLAGE / INDOOR POOL,850 WASHBURN AVE,LOUISVILLE,KY,40222,29,1988/06/22 00:00:00,326.0
695,SWIMMING AREA,191.0,SiWIMMING POOL,62499.0,SWAN POINTE POOL,1112 SWAN POINTE BLVD,LOUISVILLE,KY,40243,22,2005/07/20 00:00:00,327.0
695,SWIMMING AREA,191.0,SWIMMING POuOL,89550.0,MIRALEA,320 JOE CONWAY CIR,MASONIC HOME,KY,40041,26,2012/11/02 00:00:00,328.0
695,SWIMMING AREA,191.0,SWIMMgING POOL,29715.0,STONEMILL VILLAGE / OUTDOOR POOL,850 WASHBURN AVE,LOUISVILLE,KY,40222,26,1988/06/23 00:00:00,329.0
695,SWIMMING AREA,191.0,WIMMING POOL,29716.0,SPINDLEWICK CONDO,810 WASHBURN AVE,LOUISVILLE,KY,40206,26,1988/06/23 00:00:00,330.0
695,SWIMMING AREA,191.0,SWIMMING POOL,29724.0,STATION HOUSE SQUARE APTS,1509 S 6TH STREET,LOUISVILLE,KY,40208,23,1988/06/23 00:00:00,331.0
695,SWIMMING AREA,195.0,WATERSLIDE,89964.0,YMCA NORTON COMMONS,11000 BROWNSBORO RD,PROSPECT,KY,40059,21,2013/01/17 00:00:00,332.0
695,SWIMMING AREA,241.0,SWIMMING POOL,62700.0,CEDAR RIDGE CAMP & RETREAT CNT,4010 ROUTT RD,LOUISVILLE,KY,40299,22,2005/06/22 00:00:00,333.0
695,SWIMMING AREA,259.0,SPA,89965.0,YMCA NORTON COMMONS,11000 BROWNSBORO RD,PROSPECT,KY,40059,21,2013/01/17 00:00:00,334.0
695,SWIMMING AREA,291.0,SWIMMING POOL,64085.0,"CAMBRIDGE COMMONS SWIM POOL C/O CMA, LLC",11101 CAMBRIDGE COMMONS DR.,LOUISVILLE,KY,40291,22,2005/08/19 00:00:00,335.0
