facilitytype,facilitytypedescription,subtype,subtypedescription,permitnumber,premisename,premiseaddress,premisecity,premisestate,premisezip,inspection_area,openingdate,object_id
695,SWIMMING AREA,191.0,SWIMMING POOL,114078.0,DONERAIL RUN,11404 TAYLORSVILLE RD,LOUISVILLE,KY,40299,22,1988/06/07 00:00:00,433.0
695,SWIMMING AREA,191.0,SWIMMING POOL,114079.0,THE STATION AT MIDDLETOWN,13325 STATION RAIL WAY,LOUISVILLE,KY,40243,22,2022/08/22 00:00:00,434.0
695,SWIMMING AREA,191.0,SWIMMING POOL,114276.0,HAMPTON INN DOWNTOWN LOUISVILLE,101 E JEFFERSON ST,LOUISVILLE,KY,40202,28,2022/01/13 00:00:00,435.0
695,SWIMMING AREA,191.0,SWIMMING POOL,114876.0,HOLIDAY INN EXPRESS,3711 CHAMBERLAIN LANE,LOUISVILLE,KY,40241,21,2022/03/17 00:00:00,436.0
695,SWIMMING AREA,191.0,SWIMMING POOL,114877.0,"TYMBERWOOD TRACE PROPERTIES, LLC",7500 BEECHVIEW DR,LOUISVILLE,KY,40219,27,2022/03/30 00:00:00,437.0
695,SWIMMING AREA,199.0,WADING POOL,115449.0,FOREST SPRINGS SUBDIVISION,3801 ROCK BAY DR,LOUISVILLE,KY,40245,25,2022/05/19 00:00:00,438.0
695,SWIMMING AREA,192.0,SWIMMING / DIVING POOL,115450.0,FOREST SPRINGS SUBDIVISION,3801 ROCK BAY DR,LOUISVILLE,KY,40245,25,1988/06/07 00:00:00,439.0
695,SWIMMING AREA,191.0,SWIMMING POOL,115451.0,ICON APARTMENTS,3201 LEITH LANE,LOUISVILLE,KY,40218,28,2022/05/24 00:00:00,440.0
695,SWIMMING AREA,191.0,SWIMMING POOL,115549.0,VERANDA AT NORTON COMMONS,10301 MEETING ST,PROSPECT,KY,40059,21,2022/05/27 00:00:00,441.0
695,SWIMMING AREA,191.0,SWIMMING POOL,115550.0,THE LEGENDS APARTMENTS,11000 INDIAN LEGENDS DR,LOUISVILLE,KY,40241,21,2022/06/03 00:00:00,442.0
695,SWIMMING AREA,191.0,SWIMMING POOL,115551.0,STONEWATER PARK BY ATRUIM,11353 N TAZWELL DR,LOUISVILLE,KY,40241,21,2022/05/27 00:00:00,443.0
695,SWIMMING AREA,191.0,SWIMMING POOL,115552.0,THE PADDOCK AT EASTPOINT,13516 SKYWATCH LANE,LOUISVILLE,KY,40245,25,1988/06/07 00:00:00,444.0
695,SWIMMING AREA,191.0,SWIMMING POOL,115577.0,CANTER CHASE APARTMENTS,1200 CANTER CHASE,LOUISVILLE,KY,40242,25,1988/06/07 00:00:00,445.0
