row_idx,source_table,source_variant,source_row_idx,partition
0,State_of_Oklahoma_Revolving_Funds_-_2012,FD,876,isolated_unique_b
1,State_of_Oklahoma_Revolving_Funds_-_2012,FD,877,isolated_unique_b
2,State_of_Oklahoma_Revolving_Funds_-_2012,FD,878,isolated_unique_b
3,State_of_Oklahoma_Revolving_Funds_-_2012,FD,879,isolated_unique_b
4,State_of_Oklahoma_Revolving_Funds_-_2012,FD,880,isolated_unique_b
5,State_of_Oklahoma_Revolving_Funds_-_2012,FD,881,isolated_unique_b
6,State_of_Oklahoma_Revolving_Funds_-_2012,FD,882,isolated_unique_b
7,State_of_Oklahoma_Revolving_Funds_-_2012,FD,883,isolated_unique_b
8,State_of_Oklahoma_Revolving_Funds_-_2012,FD,884,isolated_unique_b
9,State_of_Oklahoma_Revolving_Funds_-_2012,FD,885,isolated_unique_b
10,State_of_Oklahoma_Revolving_Funds_-_2012,FD,886,isolated_unique_b
11,State_of_Oklahoma_Revolving_Funds_-_2012,FD,887,isolated_unique_b
12,State_of_Oklahoma_Revolving_Funds_-_2012,FD,888,isolated_unique_b
13,State_of_Oklahoma_Revolving_Funds_-_2012,FD,889,isolated_unique_b
14,State_of_Oklahoma_Revolving_Funds_-_2012,FD,890,isolated_unique_b
15,State_of_Oklahoma_Revolving_Funds_-_2012,FD,891,isolated_unique_b
16,State_of_Oklahoma_Revolving_Funds_-_2012,FD,892,isolated_unique_b
17,State_of_Oklahoma_Revolving_Funds_-_2012,FD,893,isolated_unique_b
18,State_of_Oklahoma_Revolving_Funds_-_2012,FD,894,isolated_unique_b
19,State_of_Oklahoma_Revolving_Funds_-_2012,FD,895,isolated_unique_b
20,State_of_Oklahoma_Revolving_Funds_-_2012,FD,896,isolated_unique_b
21,State_of_Oklahoma_Revolving_Funds_-_2012,FD,897,isolated_unique_b
22,State_of_Oklahoma_Revolving_Funds_-_2012,FD,898,isolated_unique_b
23,State_of_Oklahoma_Revolving_Funds_-_2012,FD,899,isolated_unique_b
24,State_of_Oklahoma_Revolving_Funds_-_2012,FD,900,isolated_unique_b
25,State_of_Oklahoma_Revolving_Funds_-_2012,FD,901,isolated_unique_b
26,State_of_Oklahoma_Revolving_Funds_-_2012,FD,902,isolated_unique_b
27,State_of_Oklahoma_Revolving_Funds_-_2012,FD,903,isolated_unique_b
28,State_of_Oklahoma_Revolving_Funds_-_2012,FD,904,isolated_unique_b
29,State_of_Oklahoma_Revolving_Funds_-_2012,FD,905,isolated_unique_b
30,State_of_Oklahoma_Revolving_Funds_-_2012,FD,906,isolated_unique_b
31,State_of_Oklahoma_Revolving_Funds_-_2012,FD,907,isolated_unique_b
32,State_of_Oklahoma_Revolving_Funds_-_2012,FD,908,isolated_unique_b
33,State_of_Oklahoma_Revolving_Funds_-_2012,FD,909,isolated_unique_b
34,State_of_Oklahoma_Revolving_Funds_-_2012,FD,910,isolated_unique_b
35,State_of_Oklahoma_Revolving_Funds_-_2012,FD,911,isolated_unique_b
36,State_of_Oklahoma_Revolving_Funds_-_2012,FD,912,isolated_unique_b
37,State_of_Oklahoma_Revolving_Funds_-_2012,FD,913,isolated_unique_b
38,State_of_Oklahoma_Revolving_Funds_-_2012,FD,914,isolated_unique_b
39,State_of_Oklahoma_Revolving_Funds_-_2012,FD,915,isolated_unique_b
40,State_of_Oklahoma_Revolving_Funds_-_2012,FD,916,isolated_unique_b
41,State_of_Oklahoma_Revolving_Funds_-_2012,FD,917,isolated_unique_b
42,State_of_Oklahoma_Revolving_Funds_-_2012,FD,918,isolated_unique_b
43,State_of_Oklahoma_Revolving_Funds_-_2012,FD,919,isolated_unique_b
44,State_of_Oklahoma_Revolving_Funds_-_2012,FD,920,isolated_unique_b
45,State_of_Oklahoma_Revolving_Funds_-_2012,FD,921,isolated_unique_b
46,State_of_Oklahoma_Revolving_Funds_-_2012,FD,922,isolated_unique_b
47,State_of_Oklahoma_Revolving_Funds_-_2012,FD,923,isolated_unique_b
48,State_of_Oklahoma_Revolving_Funds_-_2012,FD,924,isolated_unique_b
49,State_of_Oklahoma_Revolving_Funds_-_2012,FD,925,isolated_unique_b
50,State_of_Oklahoma_Revolving_Funds_-_2012,FD,926,isolated_unique_b
51,State_of_Oklahoma_Revolving_Funds_-_2012,FD,927,isolated_unique_b
52,State_of_Oklahoma_Revolving_Funds_-_2012,FD,928,isolated_unique_b
53,State_of_Oklahoma_Revolving_Funds_-_2012,FD,929,isolated_unique_b
54,State_of_Oklahoma_Revolving_Funds_-_2012,FD,930,isolated_unique_b
55,State_of_Oklahoma_Revolving_Funds_-_2012,FD,931,isolated_unique_b
56,State_of_Oklahoma_Revolving_Funds_-_2012,FD,932,isolated_unique_b
57,State_of_Oklahoma_Revolving_Funds_-_2012,FD,933,isolated_unique_b
58,State_of_Oklahoma_Revolving_Funds_-_2012,FD,934,isolated_unique_b
59,State_of_Oklahoma_Revolving_Funds_-_2012,FD,935,isolated_unique_b
60,State_of_Oklahoma_Revolving_Funds_-_2012,FD,936,isolated_unique_b
61,State_of_Oklahoma_Revolving_Funds_-_2012,FD,937,isolated_unique_b
62,State_of_Oklahoma_Revolving_Funds_-_2012,FD,938,isolated_unique_b
63,State_of_Oklahoma_Revolving_Funds_-_2012,FD,939,isolated_unique_b
64,State_of_Oklahoma_Revolving_Funds_-_2012,FD,940,isolated_unique_b
65,State_of_Oklahoma_Revolving_Funds_-_2012,FD,941,isolated_unique_b
66,State_of_Oklahoma_Revolving_Funds_-_2012,FD,942,isolated_unique_b
67,State_of_Oklahoma_Revolving_Funds_-_2012,FD,943,isolated_unique_b
68,State_of_Oklahoma_Revolving_Funds_-_2012,FD,944,isolated_unique_b
69,State_of_Oklahoma_Revolving_Funds_-_2012,FD,945,isolated_unique_b
70,State_of_Oklahoma_Revolving_Funds_-_2012,FD,946,isolated_unique_b
71,State_of_Oklahoma_Revolving_Funds_-_2012,FD,947,isolated_unique_b
72,State_of_Oklahoma_Revolving_Funds_-_2012,FD,948,isolated_unique_b
73,State_of_Oklahoma_Revolving_Funds_-_2012,FD,949,isolated_unique_b
74,State_of_Oklahoma_Revolving_Funds_-_2012,FD,950,isolated_unique_b
75,State_of_Oklahoma_Revolving_Funds_-_2012,FD,951,isolated_unique_b
76,State_of_Oklahoma_Revolving_Funds_-_2012,FD,952,isolated_unique_b
77,State_of_Oklahoma_Revolving_Funds_-_2012,FD,953,isolated_unique_b
