objectid,cyclevalue,id_three_zero_five_b,namevalue,locationvalue,milessquare,marineaquaticlife,recreation,fishconsumption,shellfish,shape_length,shape_area
148.0,2008,CT-C2_021,"LIS CB Shore - Bayview, Milford","See Map for Boundaries. Central portion of LIS from SA/SB water quality line at Welches Point to SA/SB water quality line at Pond Point area (includes only SA water between New Haven Harbor and Gulf), out approximately 1000 ft offshore, Milford.",0.33121315,Not Assessed,Not Assessed,Fully Supporting,Fully Supporting Harvesting for Direct Consumption,21119.7716114179,9233692.73149634
149.0,2008,CT-E2_020,"LIS EB Shore - Willard Bay, Old Saybrook","See Map for Boundaries. Eastern portion of LIS from Cornfield Point to SB/SA water quality boundary at Lynde Point, out approximately 1000 ft offshore. (SB water)",0.49961165,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,29879.568592061,13928373.6854045
150.0,2008,CT-E2_018,"LIS EB Shore - Soundview Beach, Old Lyme","See Map for Boundaries. Eastern portion of LIS from SB/SA water quality boundary at Hawks Nest Beach area to Hatchett Point (Includes Soundview Beach), out approximately 1000 ft offshore.",0.33168182,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,20951.4117918318,9246758.45712406
151.0,2008,CT-C2_004,"LIS CB Shore - Outer Clinton Harbor, Clinton","See Map for Boundaries. Central portion of LIS from West Rock to Kelsey Point area (outer Clinton Harbor SA water includes Hammonasset, Indian, and Hammock River outlets, and Town Beach), out approximately 1000 ft offshore, Clinton.",0.50528294,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,30531.041508012,14086479.99214
152.0,2008,CT-E2_002,"LIS EB Shore - Stonington Point, Stonington","See Map for Boundaries. Eastern portion of LIS from Stonington Point to RR crossing on west side of Wequetequock Cove, out approximately 1000 ft offshore.",0.6681745,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,43631.7253247157,18627636.1365471
153.0,2008,CT-E3_009-SB,"LIS EB Midshore - Old Saybrook, CT River","See Map for Boundaries. Eastern portion of LIS from SB/SA water quality boundary, Lynde Point in CT river mouth Old Saybrook, to approximately 1000 ft offshore East of White Sands Beach, Old Lyme (Mouth of Connecticut River).",2.88990467,Fully Supporting,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,40344.9720344878,80565918.5522197
154.0,2008,CT-C2_001,"LIS CB Shore - Westbrook Harbor (East), Westbrook","See Map for Boundaries. Central portion of LIS from Fiske Lane to Old Saltworks Road (includes Middle Beach), out approximately 1000 ft offshore, Westbrook.",0.24352621,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,17052.081222719,6789121.2939572
155.0,2008,CT-C3_002,"LIS CB Midshore - Duck Island area, Clinton","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Clinton Beach, includes Duck Island and Menunketesuck Island areas), out to 50 ft contour, Clinton.",3.61909564,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,62265.2461081424,100894596.084832
156.0,2008,CT-C2_007,"LIS CB Shore - Madison Beaches (West), Madison","See Map for Boundaries. Central portion of LIS from Hogshead Point to West Warf area (includes Surf Club Beach, Chipman Point), out approximately 1000 ft offshore, Madison.",0.48182474,Not Assessed,Fully Supporting,Fully Supporting,Not Supporting Harvesting for Direct Consumption,29157.8031399161,13432502.855896
157.0,2008,CT-C3_004,"LIS CB Midshore - Hammonasset Beach area, Madison","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (Madison Beaches, inlcuding area nearshore Hammonasset Beach State Park), out to 50 ft contour, Madison.",5.5537515,Fully Supporting,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,51678.9367296096,154829705.902273
158.0,2008,CT-C2_015-SB,"LIS CB Shore - Pages Cove, Branford","See Map for Boundaries. Central portion of LIS from Mansfield Point to Johnson Point area (includes Clark Avenue Beach, Farm River Gut, Kelsey Island, Gull Rocks), out approximately 1000 ft offshore, Branford.",0.7311619,Not Assessed,Fully Supporting,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,53869.8827086084,20383623.9586602
159.0,2008,CT-C3_012-SB,"LIS CB Midshore - Outer Branford Harbor, Branford","See Map for Boundaries. Central portion of LIS from approximately 1000 ft offshore (East Haven Town Beach to Clam Island), out to extent of SB water at SA/SB water quality line for outer Branford Harbor, Branford.",3.82955548,Fully Supporting,Not Assessed,Fully Supporting,Fully Supporting Commercial Harvesting where Authorized,51369.0710330299,106761879.51375
160.0,2008,CT-E1_032,"LIS EB Inner - Oyster River Area, Old Saybrook","See Map for Boundaries. Eastern portion of LIS, Inner Estuary, Oyster River, Plum Bank Creek, and Back River from mouths on Indian Harbor, US to saltwater limits (Oyster River is to RR crossing above Route 1), Old Saybrook.",0.09815465,Not Assessed,Not Assessed,Fully Supporting,Not Supporting Harvesting for Direct Consumption,60412.0746499596,2736394.59462016
