objectid(long),cyclevalue(long),assessmentunitid,assessmentunitname,locationdescription,watertypename,watersize(double precision),units,ctlakeid(long),nhdbasin(long),classid(long),useclassname,ct_two_zero_two_zero_aql_use_usename,ct_two_zero_two_zero_aql_use_attainment,ct_two_zero_two_zero_rec_use_usename,ct_two_zero_two_zero_rec_use_attainment,ct_two_zero_two_zero_fshcon_use_usename,ct_two_zero_two_zero_fshcon_use_attainment,ct_two_zero_two_zero_dw_use_usename,ct_two_zero_two_zero_dw_use_attainment,impaired,shape_length(double precision),shape_area(double precision)
39.0,2020,CT3206-00-1-L2_01,"Chaffee, Lake (Ashford)",Ashford,"LAKE, FRESHWATER",52.15,Acres,1491.0,1100002,126.0,ILAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existibng or proposed drinking water,Not Asssessed,No,10048.8438955426,2271699.66935679
40.0,2020,CT3206-12-1-L1_01,Knowlton Pond (Ashford),Ashford,"LAKE, FRESHWATER",110.95,Acres,1465.0,1100002,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Suporting,Recreation,Fully Supporting,Fish Consumption,Insuffiient Information,Existing or proposed drinking water,Not Assessed,oN,18983.6951677781,4832929.02795286
41.0,2020,CT3800-05-1-L4_01,Big Pond (Lebanon/Windham),Lebanon,"LAKE, FRESHWATER",38.55,Acres,211.0,1100002,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluatped,No,6785.53012223499,1678994.03920449
42.0,2020,CT3202-00-1-L1_01,Keach Pond (Woodstock),Woodstock,"LAKE, FRESHWATER",29.69,Acres,1405.0,1100002,50.0,INLAND SURFACE WATERS CLASS AA,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Fully Supporting,Fish Consumption,Insufficient Information,Existing or proposed drinking water,Not Assessed,No,7086.94403544225,1293320.20234777
43.0,2020,CT6302-00-1-L1_01,Hatch Pond (Sharon),Sharon,"LAKE, FRESHWATER",19.82,Acres,1171.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficien Information,Not Classifined For Drinking Water,Not Evaluated,o,6511.78715882649,863370.963316917
44.0,2020,CT6802-12-1-L1_01,Cat Swamp Pond (Woodbury),Woodbury,"LAKE, FRESHWATER",28.57,Acres,449.0,1100005,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,5760.59840474735,1244650.9707812
45.0,2020,CT3106-06-1-L2_01,Crandall Pond (Cider Mill Pond) (Tolland),"Cider Mill Road, Tolland (just north of I84, in Crandall Park) formerly CT3106-00-2-L2_01 (wrong waterbody)","LAKE, FRESHWATER",2.63,Acres,519.0,1100002,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Supporting,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,Yes,1335.89294511291,114672.529054892
46.0,2020,CT4321-00-1-L2_01,Barber Pond (Bloomfield/Windsor),"NE corner of Bloomfield, near Windsor border, N of Newberry Road.","LAKE, FRESHWATER",9.4,Acres,112.0,1080207,48.0,INLAND SURFACE WATERS CLASS A,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Assessed,Recreation,Not Assessed,Fish Consumption,Insufficient Information,Not Classified For Drinking Water,Not Evaluated,No,4301.44782322676,409580.229077604
47.0,2020,CT4500-00-3-L3_01,Union Pond (Manchester),Impoundment of Hockanum River in Manchester at Union Street.,"LAKE, FRESHWATER",49.9,Acres,2994.0,1080205,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Not Supporting,Recreation,Insufficient Information,Fish Consumption,Not Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,8614.07142319367,2173456.36391191
48.0,2020,CT6000-00-5+L2_01,"Zoar, Lake (Monroe/Newtown/Oxford/Southbury)","Stevenson Dam, Oxford/Monroe, US to a line drawn between DEP Lake Zoar wildlife area boat launch on northeast shore in Southbury, across to just DS of confluence with Gelding Brook on southwest shore in Newtown (Riverside). Includes Kettletown State Park.","LAKE, FRESHWATER",580.57,Acres,1554.0,1100005,49.0,INLAND SURFACE WATERS CLASS B,"Habitat for Fish, Other Aquatic Life and Wildlife",Fully Supporting,Recreation,Not Supporting,Fish Consumption,ot Supporting,Not Classified For Drinking Water,Not Evaluated,Yes,72327.8061340326,25289589.4604226
