facilitytype(long),facilitytypedescription,subtype(long),subtypedescription,permitnumber(long),premisename,premiseaddress,premisecity,premisestate,premisezip(long),inspection_area(long),openingdate,object_id(long)
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,111716,LA QUINTA DEL-SOL LOUISVILLE EAST,13825 TERRA VIEW TRL,LOUISVILLE,KY,40245,25,2020/12/30 00:00:00,106
620,HOTEL OR MOTELS,50,HOTEL / MOTEL,112052,STAYBRIDGE SUITES,380 FARMINGTON AVE,LOUISVILLE,KY,40209,27,2021/03/15 00:00:00,107
723,HOTEL OR MOTELS,91,HOTEL / MOTEL,112220,FAIRFIELD INN & SUITES,653 PHILLIPS LN,LOUISVILLE,KY,40209,23,2021/04/22 00:00:00,108
620,HOTEL OR MOTELS,51,HOTEL / MOTEL,112589,THE GRADY HOTEL,601 WEST MAIN ST,LOUISVILLE,KY,40202,24,2021/05/26 00:00:00,109
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,112942,HOLIDAY INN LOUISVILLE DOWNTOWN,101 W MUHAMMAD ALI BLVD,LOUISVILLE,KY,40202,28,2021/06/24 00:00:00,110
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,113710,RED ROOF INN,4704 PRESTON HWY,LOUISVILLE,KY,40213,27,1988/06/02 00:00:00,111
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,114001,TOWNEPLACE SUITES,801 W JEFFERSON ST,LOUISVILLE,KY,40202,24,2021/11/12 00:00:00,112
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,114144,CAMBRIA HOTEL,120 S FLOYD ST,LOUISVILLE,KY,40202,26,2021/12/08 00:00:00,113
494,HOTEL OR MOTELS,91,HOTEL / MOTEL,114191,MAIN STAY SUITES,11762 COMMONWEALTH DR,LOUISVILLE,KY,40299,22,2021/01/08 00:00:00,114
620,HOTEL OR MOTELS,113,HOTEL / MOTEL,114343,HAMPTON INN DOWNTOWN,101 E JEFFERSON ST,LOUISVILLE,KY,40202,26,2022/01/26 00:00:00,115
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,114613,HOLIDAY INN EXPRESS & SUITES LOUISVILLE DOWNTOWN,800 W MARKET ST,LOUISVILLE,KY,40202,24,2022/02/25 00:00:00,116
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,114628,BAYMONT INN & SUITES,9400 BLAIRWOOD RD,LOUISVILLE,KY,40220,29,1988/06/02 00:00:00,117
620,HOTEL OR MOTELS,91,HOTEL / MOTEL,114873,HOLIDAY INN EXPRESS,3711 CHAMBERLAIN LANE,LOUISVILLE,KY,40241,21,2022/03/30 00:00:00,118
