row_idx,source_table,source_variant,source_row_idx,partition
0,305b_Assessed_Lake_2020,FD,74,shared
1,305b_Assessed_Lake_2020,FD,75,shared
2,305b_Assessed_Lake_2020,FD,76,shared
3,305b_Assessed_Lake_2020,FD,77,shared
4,305b_Assessed_Lake_2020,FD,78,shared
5,305b_Assessed_Lake_2020,FD,79,shared
6,305b_Assessed_Lake_2020,FD,80,shared
7,305b_Assessed_Lake_2020,FD,81,shared
8,305b_Assessed_Lake_2020,FD,82,shared
9,305b_Assessed_Lake_2020,FD,83,shared
10,305b_Assessed_Lake_2020,FD,84,shared
11,305b_Assessed_Lake_2020,FD,85,shared
12,305b_Assessed_Lake_2020,FD,86,shared
13,305b_Assessed_Lake_2020,FD,87,shared
14,305b_Assessed_Lake_2020,FD,88,shared
15,305b_Assessed_Lake_2020,FD,89,shared
16,305b_Assessed_Lake_2020,FD,90,shared
17,305b_Assessed_Lake_2020,FD,91,shared
18,305b_Assessed_Lake_2020,FD,92,shared
19,305b_Assessed_Lake_2020,FD,93,shared
20,305b_Assessed_Lake_2020,FD,94,shared
21,305b_Assessed_Lake_2020,FD,95,shared
22,305b_Assessed_Lake_2020,FD,96,shared
23,305b_Assessed_Lake_2020,FD,97,shared
24,305b_Assessed_Lake_2020,FD,98,shared
25,305b_Assessed_Lake_2020,FD,99,shared
26,305b_Assessed_Lake_2020,FD,100,shared
27,305b_Assessed_Lake_2020,FD,101,shared
28,305b_Assessed_Lake_2020,FD,102,shared
29,305b_Assessed_Lake_2020,FD,103,shared
30,305b_Assessed_Lake_2020,FD,104,shared
31,305b_Assessed_Lake_2020,FD,105,shared
32,305b_Assessed_Lake_2020,FD,106,shared
33,305b_Assessed_Lake_2020,FD,107,shared
34,305b_Assessed_Lake_2020,FD,108,shared
35,305b_Assessed_Lake_2020,FD,109,shared
36,305b_Assessed_Lake_2020,FD,110,shared
37,305b_Assessed_Lake_2020,FD,111,shared
38,305b_Assessed_Lake_2020,FD,112,shared
39,305b_Assessed_Lake_2020,FD,113,shared
40,305b_Assessed_Lake_2020,FD,114,shared
41,305b_Assessed_Lake_2020,FD,115,shared
42,305b_Assessed_Lake_2020,FD,116,shared
43,305b_Assessed_Lake_2020,FD,117,shared
44,305b_Assessed_Lake_2020,FD,118,shared
45,305b_Assessed_Lake_2020,FD,119,shared
46,305b_Assessed_Lake_2020,FD,120,shared
47,305b_Assessed_Lake_2020,FD,121,shared
48,305b_Assessed_Lake_2020,FD,122,shared
49,305b_Assessed_Lake_2020,FD,123,shared
50,305b_Assessed_Lake_2020,FD,124,shared
51,305b_Assessed_Lake_2020,FD,125,shared
