row_idx,source_table,source_variant,source_row_idx,partition
0,Impaired_Estuary_2008,FD,36,isolated_unique_a
1,Impaired_Estuary_2008,FD,37,isolated_unique_a
2,Impaired_Estuary_2008,FD,38,isolated_unique_a
3,Impaired_Estuary_2008,FD,39,isolated_unique_a
4,Impaired_Estuary_2008,FD,40,isolated_unique_a
5,Impaired_Estuary_2008,FD,41,isolated_unique_a
6,Impaired_Estuary_2008,FD,42,isolated_unique_a
7,Impaired_Estuary_2008,FD,43,isolated_unique_a
8,Impaired_Estuary_2008,FD,44,isolated_unique_a
9,Impaired_Estuary_2008,FD,45,isolated_unique_a
10,Impaired_Estuary_2008,FD,46,isolated_unique_a
11,Impaired_Estuary_2008,FD,47,isolated_unique_a
12,Impaired_Estuary_2008,FD,48,isolated_unique_a
13,Impaired_Estuary_2008,FD,49,isolated_unique_a
14,Impaired_Estuary_2008,FD,50,isolated_unique_a
15,Impaired_Estuary_2008,FD,51,isolated_unique_a
16,Impaired_Estuary_2008,FD,52,isolated_unique_a
17,Impaired_Estuary_2008,FD,53,isolated_unique_a
