row_idx,source_table,source_variant,source_row_idx,partition
0,Impaired_Estuary_2008,NO,144,shared
1,Impaired_Estuary_2008,NO,145,shared
2,Impaired_Estuary_2008,NO,146,shared
3,Impaired_Estuary_2008,NO,147,shared
4,Impaired_Estuary_2008,NO,148,shared
5,Impaired_Estuary_2008,NO,149,shared
6,Impaired_Estuary_2008,NO,150,shared
7,Impaired_Estuary_2008,NO,151,shared
8,Impaired_Estuary_2008,NO,152,shared
9,Impaired_Estuary_2008,NO,153,shared
10,Impaired_Estuary_2008,NO,154,shared
11,Impaired_Estuary_2008,NO,155,shared
12,Impaired_Estuary_2008,NO,156,shared
13,Impaired_Estuary_2008,NO,157,shared
14,Impaired_Estuary_2008,NO,158,shared
15,Impaired_Estuary_2008,NO,159,shared
16,Impaired_Estuary_2008,NO,160,shared
17,Impaired_Estuary_2008,NO,161,shared
18,Impaired_Estuary_2008,NO,162,shared
19,Impaired_Estuary_2008,NO,163,shared
20,Impaired_Estuary_2008,NO,164,shared
21,Impaired_Estuary_2008,NO,165,shared
22,Impaired_Estuary_2008,NO,166,shared
23,Impaired_Estuary_2008,NO,167,shared
24,Impaired_Estuary_2008,NO,168,shared
25,Impaired_Estuary_2008,NO,169,shared
26,Impaired_Estuary_2008,NO,170,shared
27,Impaired_Estuary_2008,NO,171,shared
28,Impaired_Estuary_2008,NO,172,shared
29,Impaired_Estuary_2008,NO,173,shared
30,Impaired_Estuary_2008,NO,174,shared
31,Impaired_Estuary_2008,NO,175,shared
32,Impaired_Estuary_2008,NO,176,shared
33,Impaired_Estuary_2008,NO,177,shared
34,Impaired_Estuary_2008,NO,178,shared
35,Impaired_Estuary_2008,NO,179,shared
36,Impaired_Estuary_2008,NO,180,shared
37,Impaired_Estuary_2008,NO,181,shared
38,Impaired_Estuary_2008,NO,182,shared
39,Impaired_Estuary_2008,NO,183,shared
40,Impaired_Estuary_2008,NO,184,shared
41,Impaired_Estuary_2008,NO,185,shared
42,Impaired_Estuary_2008,NO,186,shared
43,Impaired_Estuary_2008,NO,187,shared
44,Impaired_Estuary_2008,NO,188,shared
45,Impaired_Estuary_2008,NO,189,shared
46,Impaired_Estuary_2008,NO,190,shared
47,Impaired_Estuary_2008,NO,191,shared
48,Impaired_Estuary_2008,NO,192,shared
49,Impaired_Estuary_2008,NO,193,shared
50,Impaired_Estuary_2008,NO,194,shared
51,Impaired_Estuary_2008,NO,195,shared
52,Impaired_Estuary_2008,NO,196,shared
53,Impaired_Estuary_2008,NO,197,shared
54,Impaired_Estuary_2008,NO,198,shared
55,Impaired_Estuary_2008,NO,199,shared
56,Impaired_Estuary_2008,NO,200,shared
57,Impaired_Estuary_2008,NO,201,shared
58,Impaired_Estuary_2008,NO,202,shared
59,Impaired_Estuary_2008,NO,203,shared
60,Impaired_Estuary_2008,NO,204,shared
61,Impaired_Estuary_2008,NO,205,shared
62,Impaired_Estuary_2008,NO,206,shared
63,Impaired_Estuary_2008,NO,207,shared
64,Impaired_Estuary_2008,NO,208,shared
65,Impaired_Estuary_2008,NO,209,shared
66,Impaired_Estuary_2008,NO,210,shared
67,Impaired_Estuary_2008,NO,211,shared
68,Impaired_Estuary_2008,NO,212,shared
69,Impaired_Estuary_2008,NO,213,shared
70,Impaired_Estuary_2008,NO,214,shared
71,Impaired_Estuary_2008,NO,215,shared
72,Impaired_Estuary_2008,NO,216,shared
73,Impaired_Estuary_2008,NO,217,shared
74,Impaired_Estuary_2008,NO,218,shared
75,Impaired_Estuary_2008,NO,219,shared
76,Impaired_Estuary_2008,NO,220,shared
77,Impaired_Estuary_2008,NO,221,shared
78,Impaired_Estuary_2008,NO,222,shared
79,Impaired_Estuary_2008,NO,223,shared
80,Impaired_Estuary_2008,NO,224,shared
81,Impaired_Estuary_2008,NO,225,shared
82,Impaired_Estuary_2008,NO,226,shared
83,Impaired_Estuary_2008,NO,227,shared
84,Impaired_Estuary_2008,NO,228,shared
85,Impaired_Estuary_2008,NO,229,shared
86,Impaired_Estuary_2008,NO,230,shared
87,Impaired_Estuary_2008,NO,231,shared
88,Impaired_Estuary_2008,NO,232,shared
89,Impaired_Estuary_2008,NO,233,shared
90,Impaired_Estuary_2008,NO,234,shared
91,Impaired_Estuary_2008,NO,235,shared
92,Impaired_Estuary_2008,NO,236,shared
93,Impaired_Estuary_2008,NO,237,shared
94,Impaired_Estuary_2008,NO,238,shared
95,Impaired_Estuary_2008,NO,239,shared
96,Impaired_Estuary_2008,NO,240,shared
97,Impaired_Estuary_2008,NO,241,shared
98,Impaired_Estuary_2008,NO,242,shared
99,Impaired_Estuary_2008,NO,243,shared
100,Impaired_Estuary_2008,NO,244,shared
101,Impaired_Estuary_2008,NO,245,shared
102,Impaired_Estuary_2008,NO,246,shared
103,Impaired_Estuary_2008,NO,247,shared
104,Impaired_Estuary_2008,NO,248,shared
105,Impaired_Estuary_2008,NO,249,shared
106,Impaired_Estuary_2008,NO,250,shared
107,Impaired_Estuary_2008,NO,251,shared
108,Impaired_Estuary_2008,NO,36,unique_a
109,Impaired_Estuary_2008,NO,37,unique_a
110,Impaired_Estuary_2008,NO,38,unique_a
111,Impaired_Estuary_2008,NO,39,unique_a
112,Impaired_Estuary_2008,NO,40,unique_a
113,Impaired_Estuary_2008,NO,41,unique_a
114,Impaired_Estuary_2008,NO,42,unique_a
115,Impaired_Estuary_2008,NO,43,unique_a
116,Impaired_Estuary_2008,NO,44,unique_a
117,Impaired_Estuary_2008,NO,45,unique_a
118,Impaired_Estuary_2008,NO,46,unique_a
119,Impaired_Estuary_2008,NO,47,unique_a
120,Impaired_Estuary_2008,NO,48,unique_a
121,Impaired_Estuary_2008,NO,49,unique_a
122,Impaired_Estuary_2008,NO,50,unique_a
123,Impaired_Estuary_2008,NO,51,unique_a
124,Impaired_Estuary_2008,NO,52,unique_a
125,Impaired_Estuary_2008,NO,53,unique_a
126,Impaired_Estuary_2008,NO,54,unique_a
127,Impaired_Estuary_2008,NO,55,unique_a
128,Impaired_Estuary_2008,NO,56,unique_a
129,Impaired_Estuary_2008,NO,57,unique_a
130,Impaired_Estuary_2008,NO,58,unique_a
131,Impaired_Estuary_2008,NO,59,unique_a
132,Impaired_Estuary_2008,NO,60,unique_a
133,Impaired_Estuary_2008,NO,61,unique_a
134,Impaired_Estuary_2008,NO,62,unique_a
135,Impaired_Estuary_2008,NO,63,unique_a
136,Impaired_Estuary_2008,NO,64,unique_a
137,Impaired_Estuary_2008,NO,65,unique_a
138,Impaired_Estuary_2008,NO,66,unique_a
139,Impaired_Estuary_2008,NO,67,unique_a
