row_idx,source_table,source_variant,source_row_idx,partition
0,Impaired_Lake_2020,NO,12,shared
1,Impaired_Lake_2020,NO,13,shared
2,Impaired_Lake_2020,NO,14,shared
3,Impaired_Lake_2020,NO,15,shared
4,Impaired_Lake_2020,NO,16,shared
5,Impaired_Lake_2020,NO,17,shared
6,Impaired_Lake_2020,NO,18,shared
7,Impaired_Lake_2020,NO,19,shared
8,Impaired_Lake_2020,NO,20,shared
9,Impaired_Lake_2020,NO,21,shared
10,Impaired_Lake_2020,NO,22,shared
11,Impaired_Lake_2020,NO,23,shared
12,Impaired_Lake_2020,NO,24,shared
13,Impaired_Lake_2020,NO,25,shared
14,Impaired_Lake_2020,NO,26,shared
15,Impaired_Lake_2020,NO,27,shared
16,Impaired_Lake_2020,NO,28,shared
17,Impaired_Lake_2020,NO,29,shared
18,Impaired_Lake_2020,NO,30,shared
19,Impaired_Lake_2020,NO,31,shared
20,Impaired_Lake_2020,NO,32,shared
21,Impaired_Lake_2020,NO,33,shared
22,Impaired_Lake_2020,NO,34,shared
23,Impaired_Lake_2020,NO,23,unique_a
24,Impaired_Lake_2020,NO,24,unique_a
25,Impaired_Lake_2020,NO,25,unique_a
26,Impaired_Lake_2020,NO,26,unique_a
27,Impaired_Lake_2020,NO,27,unique_a
28,Impaired_Lake_2020,NO,28,unique_a
29,Impaired_Lake_2020,NO,29,unique_a
30,Impaired_Lake_2020,NO,30,unique_a
31,Impaired_Lake_2020,NO,31,unique_a
32,Impaired_Lake_2020,NO,32,unique_a
33,Impaired_Lake_2020,NO,33,unique_a
34,Impaired_Lake_2020,Typo,12,shared
35,Impaired_Lake_2020,Typo,13,shared
36,Impaired_Lake_2020,Typo,14,shared
37,Impaired_Lake_2020,Typo,15,shared
38,Impaired_Lake_2020,Typo,16,shared
39,Impaired_Lake_2020,Typo,17,shared
40,Impaired_Lake_2020,Typo,18,shared
41,Impaired_Lake_2020,Typo,19,shared
42,Impaired_Lake_2020,Typo,20,shared
43,Impaired_Lake_2020,Typo,21,shared
44,Impaired_Lake_2020,Typo,22,shared
45,Impaired_Lake_2020,Typo,23,shared
46,Impaired_Lake_2020,Typo,24,shared
47,Impaired_Lake_2020,Typo,25,shared
48,Impaired_Lake_2020,Typo,26,shared
49,Impaired_Lake_2020,Typo,27,shared
50,Impaired_Lake_2020,Typo,28,shared
51,Impaired_Lake_2020,Typo,29,shared
52,Impaired_Lake_2020,Typo,30,shared
53,Impaired_Lake_2020,Typo,31,shared
54,Impaired_Lake_2020,Typo,32,shared
55,Impaired_Lake_2020,Typo,33,shared
56,Impaired_Lake_2020,Typo,34,shared
57,Impaired_Lake_2020,Typo,34,unique_b
58,Impaired_Lake_2020,Typo,35,unique_b
59,Impaired_Lake_2020,Typo,36,unique_b
60,Impaired_Lake_2020,Typo,37,unique_b
61,Impaired_Lake_2020,Typo,38,unique_b
62,Impaired_Lake_2020,Typo,39,unique_b
63,Impaired_Lake_2020,Typo,40,unique_b
64,Impaired_Lake_2020,Typo,41,unique_b
65,Impaired_Lake_2020,Typo,42,unique_b
66,Impaired_Lake_2020,Typo,43,unique_b
67,Impaired_Lake_2020,Typo,44,unique_b
