row_idx,source_table,source_variant,source_row_idx,partition
0,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,324,isolated_unique_a
1,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,325,isolated_unique_a
2,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,326,isolated_unique_a
3,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,327,isolated_unique_a
4,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,328,isolated_unique_a
5,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,329,isolated_unique_a
6,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,330,isolated_unique_a
7,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,331,isolated_unique_a
8,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,332,isolated_unique_a
9,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,333,isolated_unique_a
10,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,334,isolated_unique_a
11,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,335,isolated_unique_a
12,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,336,isolated_unique_a
13,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,337,isolated_unique_a
14,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,338,isolated_unique_a
15,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,339,isolated_unique_a
16,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,340,isolated_unique_a
17,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,341,isolated_unique_a
18,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,342,isolated_unique_a
19,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,343,isolated_unique_a
20,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,344,isolated_unique_a
21,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,345,isolated_unique_a
22,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,346,isolated_unique_a
23,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,347,isolated_unique_a
24,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,348,isolated_unique_a
25,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,349,isolated_unique_a
26,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,350,isolated_unique_a
27,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,351,isolated_unique_a
28,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,352,isolated_unique_a
29,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,353,isolated_unique_a
30,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,354,isolated_unique_a
31,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,355,isolated_unique_a
32,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,356,isolated_unique_a
33,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,357,isolated_unique_a
34,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,358,isolated_unique_a
35,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,359,isolated_unique_a
36,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,360,isolated_unique_a
37,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,361,isolated_unique_a
38,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,362,isolated_unique_a
39,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,363,isolated_unique_a
40,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,364,isolated_unique_a
41,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,365,isolated_unique_a
42,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,366,isolated_unique_a
43,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,367,isolated_unique_a
44,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,368,isolated_unique_a
45,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,369,isolated_unique_a
46,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,370,isolated_unique_a
47,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,371,isolated_unique_a
48,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,372,isolated_unique_a
49,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,373,isolated_unique_a
50,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,374,isolated_unique_a
51,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,375,isolated_unique_a
52,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,376,isolated_unique_a
53,Louisville_Metro_KY_-_Permitted_Swimming_Areas,Typo,377,isolated_unique_a
