row_idx,source_table,source_variant,source_row_idx,partition
0,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,504,isolated_unique_a
1,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,505,isolated_unique_a
2,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,506,isolated_unique_a
3,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,507,isolated_unique_a
4,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,508,isolated_unique_a
5,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,509,isolated_unique_a
6,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,510,isolated_unique_a
7,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,511,isolated_unique_a
8,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,512,isolated_unique_a
9,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,513,isolated_unique_a
10,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,514,isolated_unique_a
11,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,515,isolated_unique_a
12,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,516,isolated_unique_a
13,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,517,isolated_unique_a
14,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,518,isolated_unique_a
15,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,519,isolated_unique_a
16,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,520,isolated_unique_a
17,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,521,isolated_unique_a
18,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,522,isolated_unique_a
19,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,523,isolated_unique_a
20,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,524,isolated_unique_a
21,Obesity_among_children_and_adolescents_aged_2_19_years__by_selected_characteristics__United_States,Typo,525,isolated_unique_a
