agency_number(long),agency_name,class_field(long),class_description,statutory_reference,calendar_year(long),monthvalue(long),total_amount
47700,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,220,Drug Money Laundering and Wire,,2011,7,$2100287.87
47700,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,410,Federal Seizures Fund,"TITLE 62, SEC. 34.48",2011,9,$314103.99
47700,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,415,Crime Commission Grants,"TITLE 62, SEC. 34.48",2011,7,$273216.70
47700,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,418,District Atty. Council,"TITLE 62, SEC. 34.48",1139,7,$76552.09
47700,OKLA. BUREAU OF NARCOTICS AND DANGEROUS,490,American Recov. & Reinv. Act,,2011,7,$27793.31
48000,N. E. OKLA. A & M COLLEGE,290,Educ & Gen Oper Rev Fund,"TITLE 70, SEC. 3901",2011,7,$748840.37
48000,N. E. OKLA. A & M COLLEGE,295,Capital Improvements Rev Fund,"TITLE 70, SEC. 3901",2011,7,$137157.00
48000,N. E. OKLA. A & M COLLEGE,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2508,7,$140653.61
48000,N. E. OKLA. A & M COLLEGE,479,Capital Bond Projects,,2011,7,$6717.05
48000,N. E. OKLA. A & M COLLEGE,490,American Recov. & Reinv. Act,,2011,7,$0.00
48500,NORTHEASTERN STATE UNIVERSITY,290,Educ & Gen Oper Revolv Funds,"TITLE 70, SEC. 3901",2011,7,$12253816.95
48500,NORTHEASTERN STATE UNIVERSITY,291,Northeastern State University,"TITLE 62, SECTION 7.5",2011,7,$11875128.33
48500,NORTHEASTERN STATE UNIVERSITY,295,Capital Improvements Rev Fund,"TITLE 62, SEC. 4.8",2011,7,$5345304.46
48500,NORTHEASTERN STATE UNIVERSITY,430,Agency Relationship Fund,"TITLE 62, SEC. 41.8",2011,7,$1350291.30
48500,NORTHEASTERN STATE UNIVERSITY,450,MASTER LEASE PURCHASE FUND,"TITLE 70, SECTION 3206.6",2011,7,$0.00
48500,NORTHEASTERN STATE UNIVERSITY,452,OCIA State Facilities Rev Bond,"TITLE 73, SECTION 301",2011,7,$0.00
48500,NORTHEASTERN STATE UNIVERSITY,475,Rev Bond Fd/Cap Improvements,"TITLE 70, SEC 4001",2011,7,$856.26
48500,NORTHEASTERN STATE UNIVERSITY,479,Capital Bond Projects,,2011,7,$99991.25
48500,NORTHEASTERN STATE UNIVERSITY,490,American Recov. & Reinv. Act,,2011,7,$0.00
48500,NORTHEASTERN STATE UNIVERSITY,600,Section 13-Const & Purch Bldg,"TITLE 70, SEC. 3904",2011,7,$4048019.94
