Id,Name,Year,Actors,Cast,Language,Country,Duration,RatingValue,RatingCount,ReviewCount,FilmingLocations
tt0054215,Psycho,1960,"Anthony Perkins,Janet Leigh,Vera Miles","Anthony Perkins,Vera Miles,John Gavin,Janet Leigh,Martin Balsam,John McIntire,Simon Oakland,Frank Albertson,Patricia Hitchcock,Vaughn Taylor,Lurene Tuttle,John Anderson,Mort Mills",English,USA,109 min,8.6,"379,998","976 user,290 critic","Title and Trust Building, 114 West Adams Street, downtown Phoenix, Arizona, USA"
tt0088993,Day of the Dead,1985,"Lori Cardille,Terry Alexander,Joseph Pilato","Lori Cardille,Terry Alexander,Joseph Pilato,Jarlath Conroy,Anthony Dileo Jr.,Richard Liberty,Sherman Howard,Gary Howard Klar,Ralph Marrero,John Amplas,Phillip G. Kellams,Taso N. Stavrakis,Greg Nicotero,Don Brockett,William Cameron",English,USA,96 min,7.2,"46,421","414 user,177 critic","Sanibel Island, Florida, USA"
tt0032484,Foreign Correspondent,1940,"Joel McCrea,Laraine Day,Herbert Marshall","Joel McCrea,Laraine Day,Herbert Marshall,George Sanders,Albert Bassermann,Robert Benchley,Edmund Gwenn,Eduardo Ciannelli,Harry Davenport,Martin Kosleck,Frances Carson,Ian Wolfe,Charles Wagenheim,Eddie Conrad,Charles Halton","English,Dutch,Latvian",USA,120 min,7.6,"12,684","124 user,73 critic","Hotel de l'Europe, Nieuwe Doelenstraat 2-14, Amsterdam, Netherlands"
tt0889671,Trumbo,2007,"Dalton Trumbo,Joan Allen,Brian Dennehy","Dalton Trumbo,Joan Allen,Brian Dennehy,Michael Douglas,Paul Giamatti,Nathan Lane,Josh Lucas,Liam Neeson,David Strathairn,Donald Sutherland,Emanuel Azenberg,Walter Bernstein,Larry Ceplair,Kirk Douglas,Peter Hanson",English,USA,96 min,7.5,724,"14 user,33 critic",
tt1325014,The People vs. George Lucas,2010,"Joe Nussbaum,Daryl Frazetti,Doug Jones","Joe Nussbaum,Daryl Frazetti,Doug Jones,Damian Hess,Richie Mehta,Brian Comerford,Dale Pollock,Glenn Kenny,Anthony Waye,Richard Sandling,Derek Ambrosi,Edward Hines Jr.,Joseph A. Covas,Adam W. James,Todd Hanson","English,French","USA,UK",93 min,6.7,"3,341","27 user,49 critic","Geneva, Canton de Genève, Switzerland"
tt0065112,Topaz,1969,"Frederick Stafford,Dany Robin,John Vernon","Frederick Stafford,Dany Robin,John Vernon,Karin Dor,Michel Piccoli,Philippe Noiret,Claude Jade,Michel Subor,Per-Axel Arosenius,Roscoe Lee Browne,Edmon Ryan,Sonja Kolthoff,Tina Hedström,John Van Dreelen,Donald Randolph","English,Spanish,French,Russian",USA,143 min,6.3,"11,928","86 user,46 critic","Place Gaillon, Paris 2, Paris, France"
tt0074512,Family Plot,1976,"Karen Black,Bruce Dern,Barbara Harris","Karen Black,Bruce Dern,Barbara Harris,William Devane,Ed Lauter,Cathleen Nesbitt,Katherine Helmond,Warren J. Kemmerling,Edith Atwater,William Prince,Nicholas Colasanto,Marge Redmond,John Lehne,Charles Tyner,Alexander Lockwood",English,USA,120 min,6.8,"14,283","107 user,64 critic","4254 Lexington Avenue, Los Angeles, California, USA"
tt0092796,Creepshow 2,1987,"George Kennedy,Lois Chiles,Domenick John","Domenick John,Tom Savini,George Kennedy,Philip Dore,Maltby Napoleon,Tyrone Tonto,Dorothy Lamour,Frank Salsedo,Holt McCallany,David Holbrook,Don Harvey,Dan Kamin,Dean Smith,Shirley Sonderegger,Paul Satterfield",English,USA,92 min,5.9,"14,700","117 user,92 critic","12890 E Main St, Humboldt, Arizona, USA"
tt0090021,Silver Bullet,1985,"Gary Busey,Everett McGill,Corey Haim","Gary Busey,Everett McGill,Corey Haim,Megan Follows,Robin Groves,Leon Russom,Terry O'Quinn,Bill Smitrovich,Joe Wright,Kent Broadhurst,Heather Simmons,James A. Baffico,Rebecca Fleming,Lawrence Tierney,William Newman",English,"USA,Netherlands",95 min,6.3,"15,051","121 user,75 critic","Greenfield Park, 1739 Burnett Blvd., Wilmington, North Carolina, USA"
tt0102733,Pyrates,1991,"Kevin Bacon,Kyra Sedgwick,Bruce Payne","Kevin Bacon,Kyra Sedgwick,Bruce Payne,Kristin Dattilo,Buckley Norris,Deborah Falconer,David Pressman,Raymond O'Connor,Byrne Piven,Ernie Lee Banks,Mickey Jones,Bo Sharon,Daniel Ben Wilson,Jeff Silverman,William John Murphy",English,USA,,4.8,517,"4 user,1 critic",
tt0102741,Queens Logic,1991,"Kevin Bacon,Linda Fiorentino,John Malkovich","Kevin Bacon,Linda Fiorentino,John Malkovich,Joe Mantegna,Ken Olin,Tony Spiridakis,Tom Waits,Chloe Webb,Jamie Lee Curtis,Michael Zelniker,Kelly Bishop,Terry Kinney,Ed Marinaro,Wendy Gazelle,Jodie Markell",English,USA,100 min,5.9,"1,294","16 user,6 critic","New York City, New York, USA"
tt1045642,Tales from the Script,2009,"Allison Anders,Jane Anderson,Doug Atchison","Allison Anders,Jane Anderson,Doug Atchison,John August,Shane Black,John D. Brancato,John Carpenter,Larry Cohen,Frank Darabont,Steven E. de Souza,Gerald Di Pego,Mark Fergus,Antwone Fisher,Naomi Foner,Joe Forte",English,USA,105 min,7.2,"1,188","8 user,29 critic","Los Angeles, California, USA"
tt0265666,The Royal Tenenbaums,2001,"Gene Hackman,Gwyneth Paltrow,Anjelica Huston","Gene Hackman,Anjelica Huston,Ben Stiller,Gwyneth Paltrow,Luke Wilson,Owen Wilson,Bill Murray,Danny Glover,Seymour Cassel,Kumar Pallana,Alec Baldwin,Grant Rosenmeyer,Jonah Meyerson,Aram Aslanian-Persico,Irina Gorovaia","English,Italian",USA,110 min,7.6,"194,889","963 user,215 critic","144th Street & Convent Avenue, Harlem, Manhattan, New York City, New York, USA"
tt0440963,The Bourne Ultimatum,2007,"Matt Damon,Édgar Ramírez,Joan Allen","Matt Damon,Julia Stiles,David Strathairn,Scott Glenn,Paddy Considine,Édgar Ramírez,Albert Finney,Joan Allen,Tom Gallop,Corey Johnson,Daniel Brühl,Joey Ansah,Colin Stinton,Dan Fredenburgh,Lucy Liemann","English,French,Arabic,Russian,Spanish","USA,Germany",115 min,8.1,"444,001","811 user,323 critic","Berlin, Germany"
tt0103772,Basic Instinct,1992,"Michael Douglas,Sharon Stone,George Dzundza","Michael Douglas,Sharon Stone,George Dzundza,Jeanne Tripplehorn,Denis Arndt,Leilani Sarelle,Bruce A. Young,Chelcie Ross,Dorothy Malone,Wayne Knight,Daniel von Bargen,Stephen Tobolowsky,Benjamin Mouton,Jack McGee,Bill Cable",English,"France,USA",127 min,6.9,"124,230","290 user,117 critic","1158 Montgomery Street, Telegraph Hill, San Francisco, California, USA"
tt0250797,Unfaithful,2002,"Richard Gere,Diane Lane,Olivier Martinez","Diane Lane,Erik Per Sullivan,Richard Gere,Olivier Martinez,Myra Lucretia Taylor,Michelle Monaghan,Chad Lowe,Joseph Badalucco Jr.,Erich Anderson,Damon Gupton,Kate Burton,Margaret Colin,Marc Forget,Larry Gleason,Dominic Chianese","English,French","USA,Germany,France",124 min,6.7,"59,104","526 user,152 critic","Dobbs Ferry, New York, USA"
tt0325703,Lara Croft Tomb Raider: The Cradle of Life,2003,"Angelina Jolie,Gerard Butler,Chris Barrie","Angelina Jolie,Gerard Butler,Ciarán Hinds,Chris Barrie,Noah Taylor,Djimon Hounsou,Til Schweiger,Simon Yam,Terence Yin,Daniel Caltagirone,Fabiano Martell,Jonny Coyne,Robert Cavanah,Ronan Vibert,Lenny Juma","English,Mandarin","USA,Germany,Japan,UK",117 min,5.5,"95,376","318 user,155 critic","Amboseli National Park, Kenya"
tt0120616,The Mummy,1999,"Brendan Fraser,Rachel Weisz,John Hannah","Brendan Fraser,Rachel Weisz,John Hannah,Arnold Vosloo,Kevin J. O'Connor,Jonathan Hyde,Oded Fehr,Erick Avari,Stephen Dunham,Corey Johnson,Tuc Watkins,Omid Djalili,Aharon Ipalé,Bernard Fox,Patricia Velasquez","English,Egyptian (Ancient),Arabic",USA,125 min,7.0,"296,307","964 user,187 critic","Ait Benhaddou, Morocco"
